TOP|20110130050001|2011-01-30_0500_US_KTTV-FOX_Americas_Most_Wanted
COL|Communication Studies Archive, UCLA 
UID|2742737a-2c36-11e0-9833-001517add60e
DUR|0:59:48.85
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-29 21:00 America/Los_Angeles
SEG_01|2014-02-14 18:23:40|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110130050002.000|20110130050002.000|XDS|%  NETWORK:  FOX
20110130050003.000|20110130050003.000|XDS|%   RATING: (NOT RATED) (72)
20110130050002.000|20110130055949.000|SEG|Type=Story
20110130050002.000|20110130050003.000|CC1| THE                            
20110130050003.000|20110130050003.000|XDS|%    TITLE: COPS
20110130050003.000|20110130050003.000|XDS|%     CALL:  FOX
20110130050003.000|20110130050004.000|CC1|COURT OF LAST RESORT.           
20110130050004.000|20110130050006.000|CC1|>> YOU INSIST ON JUSTICE.       
20110130050006.000|20110130050010.000|CC1|THAT IS WHAT PEOPLE NEED MORE   
20110130050010.000|20110130050012.000|CC1|THAN ANYTHING.                  
20110130050010.000|20110130050010.000|XDS|%   RATING: (NOT RATED) (104)
20110130050011.000|20110130050011.000|XDS|%    TITLE: MOST WANTED
20110130050012.000|20110130050017.000|CC1|>> POLICE!                      
20110130050017.000|20110130050020.000|CC1|JOHN: YOUR COURAGE AND THE      
20110130050020.000|20110130050021.000|CC1|VIEWERS OF THIS SHOW BROUGHT    
20110130050021.000|20110130050024.000|CC1|THESE COWARDS TO JUSTICE.       
20110130050024.000|20110130050025.000|CC1|OK, LET'S GO.                   
20110130050025.000|20110130050027.000|CC1|LET ME TELL YOU SOMETHING, BRO, 
20110130050027.000|20110130050031.000|CC1|YOU'RE IN BIG, BIG TROUBLE.     
20110130050031.000|20110130050032.000|CC1|[CAPTIONING MADE POSSIBLE BY FOX
20110130050032.000|20110130050042.000|CC1|BROADCASTING COMPANY]           
20110130050042.000|20110130050046.000|CC1|JOHN: CHARLES CLEMENTS WAS A    
20110130050046.000|20110130050047.000|CC1|SOLDIER'S SOLDIER, WHO SERVED   
20110130050047.000|20110130050053.000|CC1|FOUR COURSE OF DUTY ON THE FRONT
20110130050053.000|20110130050055.000|CC1|LINES IN KOSOVO, IRAQ, AND      
20110130050055.000|20110130050056.000|CC1|AFGHANISTAN.                    
20110130050056.000|20110130050059.000|CC1|>> BEING IN THE MILITARY WAS    
20110130050059.000|20110130050100.000|CC1|IMPORTANT TO CHARLES BECAUSE    
20110130050100.000|20110130050101.000|CC1|FIGHTING FOR HIS COUNTRY MEANT  
20110130050101.000|20110130050102.000|CC1|HE WAS ALSO KEEPING HIS FAMILY  
20110130050102.000|20110130050103.000|CC1|SAFE.                           
20110130050103.000|20110130050105.000|CC1|FAMILY MEANT EVERYTHING TO HIM. 
20110130050105.000|20110130050109.000|CC1|JOHN: HIS LAST TOUR WAS IN      
20110130050109.000|20110130050112.000|CC1|AFGHANISTAN WITH THE 321ST FIELD
20110130050112.000|20110130050114.000|CC1|ARTILLERY BATTERY.              
20110130050114.000|20110130050115.000|CC1|IT WAS DANGEROUS WORK AND       
20110130050115.000|20110130050116.000|CC1|CHARLES FACED DEATH NEARLY EVERY
20110130050116.000|20110130050118.000|CC1|DAT.                            
20110130050118.000|20110130050121.000|CC1|>> YOU MAY SEE IT ON TV, BUT IT 
20110130050121.000|20110130050123.000|CC1|DOES NOT BECOME REAL TO YOU     
20110130050123.000|20110130050126.000|CC1|UNTIL SOMEONE YOU LOVE BECAME   
20110130050126.000|20110130050127.000|CC1|UNDER ATTACK.                   
20110130050127.000|20110130050128.000|CC1|THEN IT BECOMES REAL BECAUSE YOU
20110130050128.000|20110130050130.000|CC1|THINK HOW CLOSE THAT LOVED ONE  
20110130050130.000|20110130050131.000|CC1|CAME TO DYING.                  
20110130050131.000|20110130050134.000|CC1|JOHN: IN MARCH, 2009, CHARLES   
20110130050134.000|20110130050137.000|CC1|RETURNED HOME ON A 15-DAY LEAVE.
20110130050137.000|20110130050140.000|CC1|AFTER STOPPING IN BALTIMORE TO  
20110130050140.000|20110130050143.000|CC1|SEE HIS FAMILY, HE DROVE TO     
20110130050143.000|20110130050145.000|CC1|FAYETTEVILLE, NORTH CAROLINA,   
20110130050145.000|20110130050146.000|CC1|HOME TO FORT BRAGG.             
20110130050146.000|20110130050147.000|CC1|HE SPENT A FEW DAYS LETTING     
20110130050147.000|20110130050149.000|CC1|LOOSE WITH SOMEBODY STATIONED   
20110130050149.000|20110130050151.000|CC1|THERE.                          
20110130050151.000|20110130050154.000|CC1|ONE OF THE SPOTS THEY HIT WAS A 
20110130050154.000|20110130050158.000|CC1|POPULAR AFTER HOURS CLUB CALLED 
20110130050158.000|20110130050200.000|CC1|THE IKOLA JAMAICAN LOUNGE.      
20110130050200.000|20110130050203.000|CC1|>> I DON'T CARE HOW LONG THE    
20110130050203.000|20110130050204.000|CC1|WAIT IS.                        
20110130050204.000|20110130050205.000|CC1|DEFINITELY BEATS WAITING FOR THE
20110130050205.000|20110130050207.000|CC1|TALIBAN.                        
20110130050207.000|20110130050210.000|CC1|>> TO BLACK MALES APPROACHED THE
20110130050210.000|20110130050212.000|CC1|FRONT OF THE LINE AND STARTED   
20110130050212.000|20110130050213.000|CC1|TALKING WITH THE BOUNCER.       
20110130050213.000|20110130050214.000|CC1|THAT CUT THE LINE TO ENTER THE  
20110130050214.000|20110130050218.000|CC1|CLUB.                           
20110130050218.000|20110130050220.000|CC1|>> WHERE DO YOU THINK YOU ARE   
20110130050220.000|20110130050221.000|CC1|GOING?                          
20110130050221.000|20110130050225.000|CC1|>> BUYING A COUPLE OF BEERS.    
20110130050225.000|20110130050228.000|CC1|>> YOU HAVE TO WAIT IN LINE JUST
20110130050228.000|20110130050229.000|CC1|LIKE EVERYBODY ELSE.            
20110130050229.000|20110130050231.000|CC1|>> WE ARE NOT LIKE YOU.         
20110130050231.000|20110130050235.000|CC1|>> MY MAN, APOLOGIZED TO HER.   
20110130050235.000|20110130050239.000|CC1|>> YOU BETTER WATCH YOUR MOUTH. 
20110130050239.000|20110130050243.000|CC1|>> YOU BETTER WATCH YOURS.      
20110130050243.000|20110130050246.000|CC1|>> CHARLES CLEMENTS ENDED UP    
20110130050246.000|20110130050247.000|CC1|DEFENDING THE LADY.             
20110130050247.000|20110130050248.000|CC1|JOHN: THAT WAS SOMETHING THAT   
20110130050248.000|20110130050250.000|CC1|WAS SECOND NATURE TO CHARLES,   
20110130050250.000|20110130050252.000|CC1|BUT LITTLE DID HE KNOW THE      
20110130050252.000|20110130050306.000|CC1|ARGUMENT WAS FAR FROM OVER.     
20110130050306.000|20110130050322.000|CC1|>> LET'S DO THIS.               
20110130050322.000|20110130050326.000|CC1|>> SOMEBODY CALL 911!           
20110130050326.000|20110130050329.000|CC1|JOHN: CHARLES DIED INSTANTLY.   
20110130050329.000|20110130050332.000|CC1|HIS FRIEND, ALSO A U.S. SOLDIER,
20110130050332.000|20110130050334.000|CC1|WAS SHOT IN THE LEG.            
20110130050334.000|20110130050337.000|CC1|>> HOW SENSELESS IS IT TO TAKE  
20110130050337.000|20110130050338.000|CC1|SOMEONE'S LIFE BECAUSE THEY SAY 
