TOP|20101201020001|2010-12-01_0200_US_KABC_Eyewitness_News_6PM
COL|Communication Studies Archive, UCLA 
UID|b5054844-fcee-11df-9e28-00e0815fe83e
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-11-30 18:00 America/Los_Angeles
SEG_01|2014-06-18 17:26:12|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101201020002.818|20101201022956.000|SEG|Type=Story
20101201020002.818|20101201022956.000|SEG_01|Type=Commercial
20101201020002.818|20101201020003.273|CCO|DEVICE.
20101201020003.273|20101201020003.727|CCO|
20101201020003.727|20101201020004.182|CCO|
20101201020004.182|20101201020004.636|CCO|>> THIS WILL EXPIRE.
20101201020004.636|20101201020005.091|CCO|
20101201020005.091|20101201020005.545|CCO|
20101201020005.545|20101201020006.000|CCO|AND WILL CUT THE LOOP UNDER,
20101201020006.000|20101201020006.455|CCO|
20101201020006.455|20101201020006.909|CCO|
20101201020006.909|20101201020007.364|CCO|WILL CUT THE LOOP.
20101201020007.364|20101201020007.818|CCO|
20101201020007.818|20101201020008.273|CCO|
20101201020008.273|20101201020008.727|CCO|IT SHOULD RELEASE THE
20101201020008.727|20101201020009.182|CCO|
20101201020009.182|20101201020009.636|CCO|
20101201020009.636|20101201020010.091|CCO|RESERVE.
20101201020010.091|20101201020010.545|CCO|
20101201020010.545|20101201020011.000|CCO|
20101201020011.000|20101201020011.556|CCO|ELLEN: IT IS UNCLEAR IN
20101201020011.556|20101201020012.111|CCO|
20101201020012.111|20101201020012.667|CCO|
20101201020012.667|20101201020013.222|CCO|FROLOV, AN EXPER YENNED
20101201020013.222|20101201020013.778|CCO|
20101201020013.778|20101201020014.333|CCO|
20101201020014.333|20101201020014.889|CCO|SKYDIVER USED AN AA D WITH
20101201020014.889|20101201020015.444|CCO|
20101201020015.444|20101201020016.000|CCO|
20101201020016.000|20101201020016.556|CCO|HIS CHAIR CHUTE SINCE HE WAS
20101201020016.556|20101201020017.111|CCO|
20101201020017.111|20101201020017.667|CCO|
20101201020017.667|20101201020018.222|CCO|NOT REQUIRED TO HAVE ONE.
20101201020018.222|20101201020018.778|CCO|
20101201020018.778|20101201020019.333|CCO|
20101201020019.333|20101201020019.889|CCO|THE RIVERSIDE CONNIE SHERIFF
20101201020019.889|20101201020020.444|CCO|
20101201020020.444|20101201020021.000|CCO|
20101201020021.000|20101201020021.556|CCO|SAID THAT -- COUNTY SHERIFF
20101201020021.556|20101201020022.111|CCO|
20101201020022.111|20101201020022.667|CCO|
20101201020022.667|20101201020023.222|CCO|SAID THAT CORONER'S OFFICE
20101201020023.222|20101201020023.778|CCO|
20101201020023.778|20101201020024.333|CCO|
20101201020024.333|20101201020024.889|CCO|WILL MAKE A POSITIVE
20101201020024.889|20101201020025.444|CCO|
20101201020025.444|20101201020026.000|CCO|
20101201020026.000|20101201020026.556|CCO|IDENTIFICATION ON THE BODY
20101201020026.556|20101201020027.111|CCO|
20101201020027.111|20101201020027.667|CCO|
20101201020027.667|20101201020028.222|CCO|IN COMING DAYS, THERE IS
20101201020028.222|20101201020028.778|CCO|
20101201020028.778|20101201020029.333|CCO|
20101201020029.333|20101201020029.889|CCO|ONLY ONE MISSING PERSON'S
20101201020029.889|20101201020030.444|CCO|
20101201020030.444|20101201020031.000|CCO|
20101201020031.000|20101201020031.667|CCO|REPORT THAT BELONGS TO A
20101201020031.667|20101201020032.333|CCO|
20101201020032.333|20101201020033.000|CCO|
20101201020033.000|20101201020033.667|CCO|SKYDIVER THAT IS VLADIMIR
20101201020033.667|20101201020034.333|CCO|
20101201020034.333|20101201020035.000|CCO|
20101201020035.000|20101201020035.667|CCO|FROLOV, LETICIA SUAREZ,
20101201020035.667|20101201020036.333|CCO|
20101201020036.333|20101201020037.000|CCO|
20101201020037.000|20101201020037.667|CCO|"ABC7 EYEWITNESS NEWS."
20101201020037.667|20101201020038.333|CCO|
20101201020038.333|20101201020039.000|CCO|
20101201020039.000|20101201020039.667|CCO|>> CLOSE TO 150 TEACHERS AND
20101201020039.667|20101201020040.333|CCO|
20101201020040.333|20101201020041.000|CCO|
20101201020041.000|20101201020041.667|CCO|SCHOOL DISTRICT EMPLOYEES
20101201020041.667|20101201020042.333|CCO|
20101201020042.333|20101201020043.000|CCO|
20101201020043.000|20101201020043.667|CCO|FACE A NOISY DEMONSTRATION
20101201020043.667|20101201020044.333|CCO|
20101201020044.333|20101201020045.000|CCO|
20101201020045.000|20101201020045.667|CCO|IN DOWN L.A. TO PROTEST
20101201020045.667|20101201020046.333|CCO|
20101201020046.333|20101201020047.000|CCO|
20101201020047.000|20101201020047.667|CCO|NEWEST ROUND OF LAUSD
20101201020047.667|20101201020048.333|CCO|
20101201020048.333|20101201020049.000|CCO|
20101201020049.000|20101201020049.667|CCO|LAYOFFS, CLOSE TO 1,000
20101201020049.667|20101201020050.333|CCO|
20101201020050.333|20101201020051.000|CCO|
20101201020051.000|20101201020051.417|CCO|STAFFERS LOST THEIR JOBS
20101201020051.417|20101201020051.833|CCO|
20101201020051.833|20101201020052.250|CCO|
20101201020052.250|20101201020052.667|CCO|TODAY, LESLIE MILLER IS LIVE
20101201020052.667|20101201020053.083|CCO|
20101201020053.083|20101201020053.500|CCO|
20101201020053.500|20101201020053.917|CCO|IN DOWNTOWN LOS ANGELES WITH
20101201020053.917|20101201020054.333|CCO|
20101201020054.333|20101201020054.750|CCO|
20101201020054.750|20101201020055.167|CCO|WHERE WHERE THE PROTESTERS
20101201020055.167|20101201020055.583|CCO|
20101201020055.583|20101201020056.000|CCO|
20101201020056.000|20101201020056.417|CCO|CALLED FOR AN END TO THE
20101201020056.417|20101201020056.833|CCO|
20101201020056.833|20101201020057.250|CCO|
20101201020057.250|20101201020057.667|CCO|LAYOFFS.
20101201020057.667|20101201020058.083|CCO|
20101201020058.083|20101201020058.500|CCO|
20101201020058.500|20101201020058.917|CCO|>> Reporter: YOU CAN SEE
20101201020058.917|20101201020059.333|CCO|
20101201020059.333|20101201020059.750|CCO|
20101201020059.750|20101201020100.167|CCO|THAT THERE ARE NO CROWDS
20101201020100.167|20101201020100.583|CCO|
20101201020100.583|20101201020101.000|CCO|
20101201020101.000|20101201020101.667|CCO|NOW, THEY HAVE DISPERSED,
20101201020101.667|20101201020102.333|CCO|
20101201020102.333|20101201020103.000|CCO|
20101201020103.000|20101201020103.667|CCO|HUNDREDS WERE OUT EARLIER,
20101201020103.667|20101201020104.333|CCO|
20101201020104.333|20101201020105.000|CCO|
20101201020105.000|20101201020105.667|CCO|TODAY THE LAST DAY ON THE
20101201020105.667|20101201020106.333|CCO|
20101201020106.333|20101201020107.000|CCO|
20101201020107.000|20101201020107.667|CCO|JOB FOR HUNDREDS OF
20101201020107.667|20101201020108.333|CCO|
20101201020108.333|20101201020109.000|CCO|
20101201020109.000|20101201020109.667|CCO|SO-CALLED CLASSIFIED WORKERS
20101201020109.667|20101201020110.333|CCO|
20101201020110.333|20101201020111.000|CCO|
