TOP|20101209020001|2010-12-09_0200_US_KMEX_Noticias_34
COL|Communication Studies Archive, UCLA 
UID|08838ea0-0338-11e0-8dbe-00e0815fe725
DUR|0:29:55.02
VID|640x480
CMT|
LAN|SPA
LBT|2010-12-08 18:00 America/Los_Angeles
SEG_01|2014-02-03 01:06:27|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101209020007.667|20101209022956.000|SEG|Type=Story
20101209020007.667|20101209020009.333|CCO|o (M-F
20101209020009.333|20101209020011.000|CCO|>>Pero se espera que el senado 
20101209020011.000|20101209020016.000|CCO|vote mañana
20101209020016.000|20101209020031.000|CCO|>>Pasamos con el ambiente, norma
20101209020031.000|20101209020036.000|CCO|adelante..
20101209020036.000|20101209020041.000|CCO|>>Dream act!!!!
20101209020041.000|20101209020046.000|CCO|(gritos)
20101209020046.000|20101209020051.000|CCO|>>Que significa este paso en el 
20101209020051.000|20101209020056.000|CCO|conrego?
20101209020056.000|20101209020101.000|CCO|>>Mañana hay un voto en el 
20101209020101.000|20101209020104.333|CCO|senado
20101209020104.333|20101209020107.667|CCO|>>Creo que hay republicanos que 
20101209020107.667|20101209020111.000|CCO|sí nos apoyan!!!
20101209020111.000|20101209020121.000|CCO|(gritos)
20101209020121.000|20101209020126.000|CCO|>>A sidfo un día de lucha.
20101209020126.000|20101209020131.000|CCO|>>Muchas gracias norma por la 
20101209020131.000|20101209020136.000|CCO|información
20101209020136.000|20101209020141.000|CCO|>>Mientras tanto, maestros 
20101209020141.000|20101209020151.000|CCO|abandonan la sala de clases ya 
20101209020151.000|20101209020156.000|CCO|que con sus salarios bajos.
20101209020156.000|20101209020201.000|CCO|>>Durante la huelga suplentes 
20101209020201.000|20101209020204.333|CCO|estaran a cargo de las clases
20101209020204.333|20101209020207.667|CCO|>>Camarera descubrio un cuerpo 
20101209020207.667|20101209020221.000|CCO|descuartizado en un hotel, en 
20101209020221.000|20101209020226.000|CCO|los angeles
20101209020226.000|20101209020231.000|CCO|>>En el interior de un cuarto de
20101209020231.000|20101209020236.000|CCO|hotel, un moral tenia parte del 
20101209020236.000|20101209020241.000|CCO|cuerpo y debajo de la cama, 
20101209020241.000|20101209020246.000|CCO|había más
20101209020246.000|20101209020251.000|CCO|>>La sñora que limpia el hotel 
20101209020251.000|20101209020256.000|CCO|descubrio el cuerpo 
20101209020256.000|20101209020301.000|CCO|descuartizado
20101209020301.000|20101209020304.333|CCO|>>Los detllaes de la 
20101209020304.333|20101209020307.667|CCO|investigacion de la policía nos 
20101209020307.667|20101209020311.000|CCO|informa que tienen a los 
20101209020311.000|20101209020321.000|CCO|sospechosos en mente
20101209020321.000|20101209020326.000|CCO|>>La escena es dantesca
20101209020326.000|20101209020331.000|CCO|>>El par de presuntos asesinos, 
20101209020331.000|20101209020336.000|CCO|trataron de robar a la víctima y
20101209020336.000|20101209020341.000|CCO|el termino descuartizado
20101209020341.000|20101209020346.000|CCO|>>Su cuerpo fue reducido en 5 
20101209020346.000|20101209020351.000|CCO|partes, urge capturar esta 
20101209020351.000|20101209020401.000|CCO|pareja, ya que ellos son una 
20101209020401.000|20101209020406.000|CCO|amenaza para cualquier comunidad
20101209020406.000|20101209020411.000|CCO|>>Al parecer esta en Hollywood, 
20101209020411.000|20101209020416.000|CCO|llame a una estacion de policía 
20101209020416.000|20101209020421.000|CCO|sí tiene información de ellos y 
20101209020421.000|20101209020426.000|CCO|no los enfrente
20101209020426.000|20101209020431.000|CCO|>>Hubo un crematorio, donde 
20101209020431.000|20101209020441.000|CCO|estos cadaveres nunca fueron 
20101209020441.000|20101209020446.000|CCO|reclamados por los familiares.
20101209020446.000|20101209020451.000|CCO|>>Parte, no tienen papeles, 
20101209020451.000|20101209020454.333|CCO|quizas de otros paises o porque 
20101209020454.333|20101209020457.667|CCO|los familiares no pudieron 
20101209020457.667|20101209020501.000|CCO|recoger el cuerpo
20101209020501.000|20101209020511.000|CCO|>>Sí usted conoce alguiñn que no
20101209020511.000|20101209020521.000|CCO|tiene nombre de los cuerpos 
20101209020521.000|20101209020526.000|CCO|averigue
20101209020526.000|20101209020531.000|CCO|>>El maestro esta liberado, se 
20101209020531.000|20101209020536.000|CCO|desempeñaba y la policía pide 
20101209020536.000|20101209020541.000|CCO|posibles victimas
20101209020541.000|20101209020546.000|CCO|>>Pasando a la prevencion de 
20101209020546.000|20101209020551.000|CCO|incendios, los bomberos dan 
20101209020551.000|20101209020556.000|CCO|algunas recomendaciones
20101209020556.000|20101209020601.000|CCO|>>No utilize los 
20101209020601.000|20101209020606.000|CCO|electrodomesticos para calentar 
20101209020606.000|20101209020611.000|CCO|las viviendas en esta epoca de 
20101209020611.000|20101209020621.000|CCO|frio
