TOP|20110110013001|2011-01-10_0130_US_KABC_ABC_World_News_Sunday
COL|Communication Studies Archive, UCLA 
UID|4e13ba7e-1c5d-11e0-9f00-001517add720
DUR|0:29:44.74
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-09 17:30 America/Los_Angeles
SEG_01|2014-06-18 18:42:53|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110110013005.000|20110110013005.000|XDS|%  NETWORK: ABC
20110110013006.000|20110110013006.000|XDS|%   RATING: (NOT RATED) (72)
20110110013006.000|20110110013006.000|XDS|%    TITLE: ABC WORLD NEWS SUNDAY
20110110013006.000|20110110013006.000|XDS|%     CALL:   
20110110013006.000|20110110013006.000|XDS|% TIMECODE: 1/09 20:00
20110110013006.000|20110110013006.000|XDS|%   LENGTH: 0:28:00 of 1:00:00
20110110013007.000|20110110013011.000|SEG|Type=Story
20110110013007.000|20110110013008.000|CC1|>>> TONIGHT, A SPECIAL EDITION  
20110110013008.000|20110110013011.000|CC1|OF "WORLD NEWS."                
20110110013011.000|20110110013022.000|SEG|Type=Story
20110110013011.000|20110110013012.000|CC1|>>> DID YOU SAY THAT            
20110110013012.000|20110110013015.000|CC1|GABRIELLE GIFFORDS WAS HIT?     
20110110013015.000|20110110013019.000|CC1|>> A MEMBER OF CONGRESS SHOT,   
20110110013019.000|20110110013020.000|CC1|ONE OF 20 AS A MAD MAN UNLEASHES
20110110013020.000|20110110013022.000|CC1|HIS RAGE.                       
20110110013022.000|20110110013032.000|SEG|Type=Story
20110110013022.000|20110110013023.000|CC1|>>> THE MEDICAL MIRACLE.        
20110110013023.000|20110110013025.000|CC1|HOW DO YOU SURVIVE A BULLET     
20110110013025.000|20110110013027.000|CC1|TO THE BRAIN?                   
20110110013027.000|20110110013030.000|CC1|HOPEFUL SIGNS TONIGHT FOR THE   
20110110013030.000|20110110013032.000|CC1|CONGRESSWOMAN AND THE VICTIMS.  
20110110013032.000|20110110013032.000|XDS|%   LENGTH: 0:29:00 of 1:00:00
20110110013032.000|20110110013039.000|SEG|Type=Story
20110110013032.000|20110110013032.000|CC1|>>> AND THE SIX THAT DID NOT    
20110110013032.000|20110110013037.000|CC1|SURVIVE.                        
20110110013037.000|20110110013038.000|CC1|INCLUDING A YOUNG GIRL BORN ON  
20110110013038.000|20110110013039.000|CC1|9/11.                           
20110110013039.000|20110110013041.000|SEG|Type=Story
20110110013039.000|20110110013039.000|CC1|>>> THE SUSPECT, WHAT WE'RE     
20110110013039.000|20110110013040.000|CC1|LEARNING ABOUT THE TRAIL OF     
20110110013040.000|20110110013041.000|CC1|ANGER AND FAILURE THAT LED HIM  
20110110013041.000|20110110013041.000|CC1|HERE.                           
20110110013041.000|20110110013049.000|SEG|Type=Story
20110110013041.000|20110110013042.000|CC1|>>> AND THE HEROES.             
20110110013042.000|20110110013043.000|CC1|A YOUNG INTERN WHO RAN TOWARD   
20110110013043.000|20110110013043.000|CC1|THE GUN FIRE WHEN OTHERS RAN    
