TOP|20101204073001|2010-12-04_0730_US_KMEX_Noticiero_Univision_Ultima_Hora
COL|Communication Studies Archive, UCLA 
UID|4e42eb0c-ff78-11df-9e40-00e0815ffae2
DUR|0:29:55.02
VID|640x480
CMT|
LAN|SPA
LBT|2010-12-03 23:30 America/Los_Angeles
SEG_01|2014-06-18 17:38:55|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101204073005.444|20101204075956.000|SEG|Type=Story
20101204073005.444|20101204073021.000|SEG_01|Type=Commercial
20101204073005.444|20101204073006.556|CCO| final, gracias 
20101204073006.556|20101204073007.667|CCO|por acompañarnos. Desfrute su 
20101204073007.667|20101204073008.778|CCO|fin de semana. Buenas noches 
20101204073008.778|20101204073009.889|CCO|>>   .
20101204073009.889|20101204073021.000|CCO|>>   .
20101204073021.000|20101204073022.667|SEG_01|Type=Story start
20101204073021.000|20101204073022.667|CCO|(ESTA NOCHE EN ÚLTIMA HORA)
20101204073022.667|20101204073024.333|CCO|>> LOS PRINCIPALES AEROPUERTOS 
20101204073024.333|20101204073026.000|CCO|DE ESPAÑA HAN SIDO TOMADOS POR 
20101204073026.000|20101204073027.667|CCO|EL EJÉRCITO UNA MASIVA HUELGA 
20101204073027.667|20101204073029.333|CCO|DE CONTROLADORES AÉREOS HA 
20101204073029.333|20101204073031.000|CCO|PUESTO EN JAQUE A MÁS DE 
20101204073031.000|20101204073033.000|CCO|300.000 VIAJEROS.
20101204073033.000|20101204073035.000|CCO|>> SIGUEN LOS DOLORES DE CABEZA 
20101204073035.000|20101204073037.000|CCO|PARA EL GOBIERNO ESTADOUNIDENSE.
20101204073037.000|20101204073039.000|CCO|CADA DÍA SON MÁS LOS SECRETOS 
20101204073039.000|20101204073041.000|CCO|DE ESTADO Y LOS INFORMES 
20101204073041.000|20101204073043.500|CCO|CLASIFICADOS REVELADOS POR EL 
20101204073043.500|20101204073046.000|CCO|ESCÁNDALO DEL WIKILEAKS.
20101204073046.000|20101204073048.500|CCO|>> ESTE NIÑO SICARIO SE HACE 
20101204073048.500|20101204073051.000|CCO|LLAMAR EL PONCHIS.
20101204073051.000|20101204073052.429|CCO|DESDE LOS 11 AÑOS ESTÁ MATANDO, 
20101204073052.429|20101204073053.857|CCO|CONFIESA EN CÁMARA HABER 
20101204073053.857|20101204073055.286|CCO|DEGOLLADO POR LO MENOS CUATRO 
20101204073055.286|20101204073056.714|CCO|PERSONAS.
20101204073056.714|20101204073058.143|CCO|>> INFLUYENTES MIEMBROS DEL 
20101204073058.143|20101204073059.571|CCO|PARTIDO REPUBLICANO NO QUIEREN 
20101204073059.571|20101204073101.000|CCO|QUE SARA... SE POSTULE A LA 
20101204073101.000|20101204073102.667|CCO|PRESIDENCIA.
20101204073102.667|20101204073104.333|CCO|>> ESTA VALIENTE ATLETA LO DEJA 
20101204073104.333|20101204073106.000|CCO|TODO EN LA PISTA POR SUS 
20101204073106.000|20101204073107.667|CCO|COMPAÑEROS DURANTE UNA 
20101204073107.667|20101204073109.333|CCO|COMPETENCIA COLEGIAL.
20101204073109.333|20101204073111.000|CCO|>> Y, QUIERE VIR EN LA CASA 
20101204073111.000|20101204073113.500|CCO|DEL PADRINO?
20101204073113.500|20101204073116.000|CCO|LA FAMOSA CASA DE LA LEGENDARIA 
20101204073116.000|20101204073118.500|CCO|PELÍCULA ESTÁ A LA VENTA.
20101204073118.500|20101204073121.000|CCO|(ESTE ES SU NOTICIERO UNIVISIÓN 
20101204073121.000|20101204073123.500|CCO|ÚLTIMA HORA)
20101204073123.500|20101204073126.000|CCO|>> QUE TAL, MUY BUENAS NOCHES Y 
20101204073126.000|20101204073128.500|CCO|BIENVENIDOS.
20101204073128.500|20101204073131.000|CCO|HAY CAOS AÉREO EN ESPAÑA.
20101204073131.000|20101204073134.333|CCO|ESTE SÁBADO EL GOBIERNO ESPAÑOL 
20101204073134.333|20101204073137.667|CCO|PODRÍA DECLAR ESTADO DE 
20101204073137.667|20101204073141.000|CCO|ALARMA Y HA ADVERTIDO QUE 
20101204073141.000|20101204073144.333|CCO|PODRÍA HABER ARRESTOS.
20101204073144.333|20101204073147.667|CCO|LAS OPERACIONES AÉREAS ESTÁN 
20101204073147.667|20101204073151.000|CCO|FUNCIONANDO A CUENTA GOTAS EN 
20101204073151.000|20101204073152.429|CCO|MUCHOS AEROPUERTOS DE ESTE PAÍS.
20101204073152.429|20101204073153.857|CCO| CRISTINA NOS HABLA DE 
20101204073153.857|20101204073155.286|CCO|INMEDIATO DE LO QUE ES, DESDE 
20101204073155.286|20101204073156.714|CCO|YA,1 DOLOR DE CABEZA PARA MILES 
20101204073156.714|20101204073158.143|CCO|DE PASAJEROS INCLUIDOS EN LOS 
20101204073158.143|20101204073159.571|CCO|ESTADOS UNIDOS.
20101204073159.571|20101204073201.000|CCO|BUENAS NOCHES, ADELANTE.
20101204073201.000|20101204073203.000|CCO|>> BUENAS NOCHES ENRIQUE, SEGÚN 
20101204073203.000|20101204073205.000|CCO|UN VOCERO DEL AEROPUERTO 
20101204073205.000|20101204073207.000|CCO|INTERNACIONAL DE MIAMI,2 
20101204073207.000|20101204073209.000|CCO|AVIONES PROCEDENTES DE MADRID, 
20101204073209.000|20101204073211.000|CCO|ATERRIZARON ESTA TARDE EN MIAMI 
20101204073211.000|20101204073213.500|CCO|CON UN ATRASO DE UNA HORA.
20101204073213.500|20101204073216.000|CCO|AMBOS AVIONES DESCARGARON A SUS 
20101204073216.000|20101204073218.500|CCO|PASAJEROS Y REGRESAR A MADRID 
20101204073218.500|20101204073221.000|CCO|CON PASAJEROS A BORDO, LUEGO DE 
20101204073221.000|20101204073222.429|CCO|UNA DEMORA DE DOS HORAS.
20101204073222.429|20101204073223.857|CCO|>> LA HUELGA DE LOS 
20101204073223.857|20101204073225.286|CCO|CONTROLADORES AÉREOS EN ESPAÑA 
20101204073225.286|20101204073226.714|CCO|TUVO MAYORES REPERCUSIONES PARA 
20101204073226.714|20101204073228.143|CCO|LOS MILES DE PASAJEROS QUE 
20101204073228.143|20101204073229.571|CCO|INICIABAN UN FIN DE SEMANA 
20101204073229.571|20101204073231.000|CCO|LARGO.
20101204073231.000|20101204073233.500|CCO|>> RESULTA QUE HAN CERRADO EN 
20101204073233.500|20101204073236.000|CCO|CHECK IN.
20101204073236.000|20101204073238.500|CCO|>> NOS QUEDAMOS SIN PODER SALIR 
20101204073238.500|20101204073241.000|CCO|DE AQUÍ.
20101204073241.000|20101204073242.667|CCO|QUE VAMOS A HACER, NO PODEMOS 
20101204073242.667|20101204073244.333|CCO|HACER NADA.
20101204073244.333|20101204073246.000|CCO|>> TRAS MESES DE CONFLICTO 
20101204073246.000|20101204073247.667|CCO|ENTRE CONTROLADORES AÉREOS Y 
20101204073247.667|20101204073249.333|CCO|QUE EL GOBIERNO DE ESPAÑA POR 
20101204073249.333|20101204073251.000|CCO|CONDICIONES LABORALES,
20101204073251.000|20101204073252.667|CCO|EL ESPACIO AÉREO IBÉRICO QUEDÓ 
20101204073252.667|20101204073254.333|CCO|CERRADO EL VIERNES.
20101204073254.333|20101204073256.000|CCO|AFECTANDO LAS ÁREAS 
20101204073256.000|20101204073257.667|CCO|VACACIONALES DE IBIZA Y PALMA 
20101204073257.667|20101204073259.333|CCO|DE MALLORCA, ENTRE OTROS.
20101204073259.333|20101204073301.000|CCO|>> QUIERO PEDIR DISCULPAS A LOS 
20101204073301.000|20101204073302.429|CCO|CIUDADANOS
20101204073302.429|20101204073303.857|CCO|QUE NO PUEDEN VIAJAR POR EL 
20101204073303.857|20101204073305.286|CCO|CHANTAJE DE LOS CONTROLADORES 
20101204073305.286|20101204073306.714|CCO|AÉREOS,
20101204073306.714|20101204073308.143|CCO|QUE LOS ESTÁN UTILIZANDO COMO 
20101204073308.143|20101204073309.571|CCO|REHENES.
20101204073309.571|20101204073311.000|CCO|>> LA RAZÓN DE LOS CIERRES ES 
20101204073311.000|20101204073312.250|CCO|QUE HASTA UN 90% DE LOS 
20101204073312.250|20101204073313.500|CCO|CONTROLADORES NO SE PRESENTARON 
20101204073313.500|20101204073314.750|CCO|A TRABAJAR ALEGANDO ESTAR 
20101204073314.750|20101204073316.000|CCO|ENFERMOS,
20101204073316.000|20101204073317.250|CCO|EN LO QUE PARECÍA SER UNA 
20101204073317.250|20101204073318.500|CCO|HUELGA ENCUBIERTA.
20101204073318.500|20101204073319.750|CCO|>> LOS CONTROLADORES AÉREOS 
20101204073319.750|20101204073321.000|CCO|EXIGEN NEGOCIACIONES SOBRE 
20101204073321.000|20101204073323.000|CCO|SALARIOS Y CONDICIONES 
20101204073323.000|20101204073325.000|CCO|LABORALES.
20101204073325.000|20101204073327.000|CCO|>> EL MINISTRO DE FOMENTO 
20101204073327.000|20101204073329.000|CCO|ESPAÑOL, JOSÉ BLANCO, ADVIRTIÓ 
