id,md_datetime_utc_start_hour,md_datetime_utc_start,md_network_series_tok,md_network_tok,score
2017-12-24_1300_US_MSNBC_PoliticsNation_main,2017122413,1514120401000,MSNBC PoliticsNation,MSNBC,10.758234
2017-12-24_0700_US_KNBC_NBC_4_News_at_11pm_main,2017122407,1514098802000,KNBC NBC 4 News at 11pm,KNBC,18.633808
2017-12-24_0700_US_KABC_Eyewitness_News_11PM_main,2017122407,1514098801000,KABC Eyewitness News 11PM,KABC,10.758234
2017-12-24_0600_US_KTTV-FOX_Fox_11_Ten_OClock_News_main,2017122406,1514095201000,KTTV-FOX Fox 11 Ten OClock News,KTTV-FOX,21.516468
2017-12-24_0600_US_KTLA_KTLA_5_News_at_10_main,2017122406,1514095201000,KTLA KTLA 5 News at 10,KTLA,10.758234
2017-12-24_0400_US_KCAL_KCAL_9_News_at_8PM_main,2017122404,1514088002000,KCAL KCAL 9 News at 8PM,KCAL,28.463612
2017-12-24_0200_US_KCBS_CBS_2_News_at_6PM_main,2017122402,1514080802000,KCBS CBS 2 News at 6PM,KCBS,26.352184
2017-12-24_0200_US_KABC_Eyewitness_News_6PM_main,2017122402,1514080802000,KABC Eyewitness News 6PM,KABC,21.516468
2017-12-24_0100_US_KTTV-FOX_Fox_11_Weekend_News_main,2017122401,1514077201000,KTTV-FOX Fox 11 Weekend News,KTTV-FOX,21.516468
2017-12-24_0100_US_KCBS_CBS_2_News_at_5PM_main,2017122401,1514077201000,KCBS CBS 2 News at 5PM,KCBS,18.633808
2017-12-24_0000_US_FOX-News_Fox_Report_main,2017122400,1514073601000,FOX-News Fox Report,FOX-News,10.758234
2017-12-24_0000_US_KABC_Eyewitness_News_4PM_main,2017122400,1514073601000,KABC Eyewitness News 4PM,KABC,10.758234
2017-12-23_2200_US_FOX-News_Americas_News_Headquarters_main,2017122322,1514066402000,FOX-News Americas News Headquarters,FOX-News,10.758234
2017-12-23_1500_US_KCAL_KCAL_9_News_Saturday_main,2017122315,1514041201000,KCAL KCAL 9 News Saturday,KCAL,15.21444
2017-12-23_1330_US_KNBC_Today_main,2017122313,1514035801000,KNBC Today,KNBC,10.758234
2017-12-23_0700_US_KNBC_NBC_4_News_at_11pm_main,2017122307,1514012401000,KNBC NBC 4 News at 11pm,KNBC,10.758234
2017-12-23_0500_US_CNN_United_Shades_of_America_main,2017122305,1514005202000,CNN United Shades of America,CNN,10.758234
2017-12-23_0400_US_KCAL_KCAL_9_News_at_8PM_main,2017122304,1514001603000,KCAL KCAL 9 News at 8PM,KCAL,15.21444
2017-12-23_0230_US_KNBC_NBC_Nightly_News_With_Lester_Holt_main,2017122302,1513996201000,KNBC NBC Nightly News With Lester Holt,KNBC,10.758234
2017-12-23_0200_US_KCBS_CBS_2_News_at_6PM_main,2017122302,1513994402000,KCBS CBS 2 News at 6PM,KCBS,18.633808
2017-12-23_0200_US_KABC_Eyewitness_News_6PM_main,2017122302,1513994402000,KABC Eyewitness News 6PM,KABC,15.21444
2017-12-23_0200_US_KNBC_NBC_4_News_at_6pm_main,2017122302,1513994402000,KNBC NBC 4 News at 6pm,KNBC,10.758234
2017-12-23_0100_US_KNBC_NBC_4_News_at_5pm_main,2017122301,1513990807000,KNBC NBC 4 News at 5pm,KNBC,15.21444
2017-12-23_0000_US_KNBC_NBC_4_News_at_4pm_main,2017122300,1513987201000,KNBC NBC 4 News at 4pm,KNBC,18.633808
2017-12-22_2300_US_FOX-News_Special_Report_With_Bret_Baier_main,2017122223,1513983601000,FOX-News Special Report With Bret Baier,FOX-News,15.21444
2017-12-22_2300_US_KABC_Eyewitness_News_3PM_main,2017122223,1513983601000,KABC Eyewitness News 3PM,KABC,15.21444
2017-12-22_2000_US_HLN_Michaela_main,2017122220,1513972801000,HLN Michaela,HLN,10.758234
2017-12-22_2000_US_KCAL_KCAL_9_News_at_12PM_main,2017122220,1513972801000,KCAL KCAL 9 News at 12PM,KCAL,10.758234
2017-12-22_1900_US_KNBC_NBC_4_News_at_11am_main,2017122219,1513969201000,KNBC NBC 4 News at 11am,KNBC,15.21444
2017-12-22_1900_US_KABC_Eyewitness_News_11AM_main,2017122219,1513969201000,KABC Eyewitness News 11AM,KABC,10.758234
2017-12-22_1900_US_KCBS_CBS_2_News_at_11AM_main,2017122219,1513969201000,KCBS CBS 2 News at 11AM,KCBS,10.758234
2017-12-22_1800_US_MSNBC_MSNBC_Live_With_Craig_Melvin_main,2017122218,1513965602000,MSNBC MSNBC Live With Craig Melvin,MSNBC,10.758234
2017-12-22_1800_US_KABC_The_View_main,2017122218,1513965601000,KABC The View,KABC,15.21444
2017-12-22_1500_US_KNBC_Today_main,2017122215,1513954803000,KNBC Today,KNBC,10.758234
