id,md_datetime_utc_start_hour,md_network_series_tok,md_network_tok,md_datetime_utc_start,score
2018-01-30_0000_US_KCAL_KCAL_9_News_at_4PM_main,2018013000,KCAL KCAL 9 News at 4PM,KCAL,1517270401000,15.646612
2018-01-30_0000_US_KNBC_NBC_4_News_at_4pm_main,2018013000,KNBC NBC 4 News at 4pm,KNBC,1517270401000,15.646612
2018-01-29_2300_US_KABC_Eyewitness_News_3PM_main,2018012923,KABC Eyewitness News 3PM,KABC,1517266801000,15.646612
2018-01-29_1400_US_KTTV-FOX_Fox_11_Morning_News_at_6am_main,2018012914,KTTV-FOX Fox 11 Morning News at 6am,KTTV-FOX,1517234402000,11.063826
2018-01-29_0730_US_KMEX_Noticiero_Univisión_Fin_de_Semana_main,2018012907,KMEX Noticiero Univisión Fin de Semana,KMEX,1517211001000,11.063826
2018-01-29_0700_US_KNBC_NBC_4_News_at_11pm_main,2018012907,KNBC NBC 4 News at 11pm,KNBC,1517209201000,22.127651
2018-01-29_0600_US_KTTV-FOX_Fox_11_Ten_OClock_News_main,2018012906,KTTV-FOX Fox 11 Ten OClock News,KTTV-FOX,1517205602000,15.646612
2018-01-29_0600_US_KTLA_KTLA_5_News_at_10_main,2018012906,KTLA KTLA 5 News at 10,KTLA,1517205602000,11.063826
2018-01-29_0500_US_KTLA_KTLA_5_News_Sunday_Edition_main,2018012905,KTLA KTLA 5 News Sunday Edition,KTLA,1517202003000,22.127651
2018-01-29_0400_US_KCAL_KCAL_9_News_at_8PM_main,2018012904,KCAL KCAL 9 News at 8PM,KCAL,1517198401000,15.646612
2018-01-29_0200_US_KABC_Eyewitness_News_6PM_main,2018012902,KABC Eyewitness News 6PM,KABC,1517191202000,24.739466
2018-01-29_0200_US_KNBC_NBC_4_News_main,2018012902,KNBC NBC 4 News,KNBC,1517191202000,11.063826
2018-01-29_0130_US_KNBC_NBC_Nightly_News_With_Lester_Holt_main,2018012901,KNBC NBC Nightly News With Lester Holt,KNBC,1517189402000,15.646612
2018-01-29_0100_US_KABC_Eyewitness_News_5PM_main,2018012901,KABC Eyewitness News 5PM,KABC,1517187601000,27.100729
2018-01-29_0000_US_KABC_Eyewitness_News_4PM_main,2018012900,KABC Eyewitness News 4PM,KABC,1517184002000,22.127651
2018-01-28_0700_US_KNBC_NBC_4_News_at_11pm_main,2018012807,KNBC NBC 4 News at 11pm,KNBC,1517122801000,15.646612
2018-01-28_0200_US_KNBC_NBC_4_News_main,2018012802,KNBC NBC 4 News,KNBC,1517104801000,11.063826
2018-01-27_1500_US_KCAL_KCAL_9_News_Saturday_main,2018012715,KCAL KCAL 9 News Saturday,KCAL,1517065201000,19.163107
2018-01-27_0700_US_KNBC_NBC_4_News_at_11pm_main,2018012707,KNBC NBC 4 News at 11pm,KNBC,1517036402000,11.063826
2018-01-27_0700_US_KABC_Eyewitness_News_11PM_main,2018012707,KABC Eyewitness News 11PM,KABC,1517036401000,22.127651
2018-01-27_0700_US_KCBS_CBS_2_News_at_11PM_main,2018012707,KCBS CBS 2 News at 11PM,KCBS,1517036401000,22.127651
2018-01-27_0700_US_KMEX_Noticias_34_Edición_Nocturna_main,2018012707,KMEX Noticias 34 Edición Nocturna,KMEX,1517036401000,15.646612
2018-01-27_0600_US_KTTV-FOX_Fox_11_Ten_OClock_News_main,2018012706,KTTV-FOX Fox 11 Ten OClock News,KTTV-FOX,1517032801000,15.646612
2018-01-27_0200_US_KNBC_NBC_4_News_at_6pm_main,2018012702,KNBC NBC 4 News at 6pm,KNBC,1517018401000,19.163107
2018-01-27_0000_US_KNBC_NBC_4_News_at_4pm_main,2018012700,KNBC NBC 4 News at 4pm,KNBC,1517011205000,11.063826
2018-01-26_0700_US_KCBS_CBS_2_News_at_11PM_main,2018012607,KCBS CBS 2 News at 11PM,KCBS,1516950001000,11.063826
2018-01-26_0600_US_KTTV-FOX_Fox_11_Ten_OClock_News_main,2018012606,KTTV-FOX Fox 11 Ten OClock News,KTTV-FOX,1516946401000,11.063826
2018-01-26_0100_US_KNBC_NBC_4_News_at_5pm_main,2018012601,KNBC NBC 4 News at 5pm,KNBC,1516928402000,11.063826
2018-01-26_0000_US_KNBC_NBC_4_News_at_4pm_main,2018012600,KNBC NBC 4 News at 4pm,KNBC,1516924801000,11.063826
2018-01-25_1900_US_KNBC_NBC_4_News_at_11am_main,2018012519,KNBC NBC 4 News at 11am,KNBC,1516906801000,11.063826
2018-01-25_1400_US_KTTV-FOX_Fox_11_Morning_News_at_6am_main,2018012514,KTTV-FOX Fox 11 Morning News at 6am,KTTV-FOX,1516888804000,15.646612
2018-01-25_0700_US_KNBC_NBC_4_News_at_11pm_main,2018012507,KNBC NBC 4 News at 11pm,KNBC,1516863601000,19.163107
2018-01-25_0700_US_KCBS_CBS_2_News_at_11PM_main,2018012507,KCBS CBS 2 News at 11PM,KCBS,1516863601000,15.646612
2018-01-25_0700_US_KABC_Eyewitness_News_11PM_main,2018012507,KABC Eyewitness News 11PM,KABC,1516863601000,11.063826
2018-01-25_0700_US_KMEX_Noticias_34_Edición_Nocturna_main,2018012507,KMEX Noticias 34 Edición Nocturna,KMEX,1516863601000,11.063826
