TOP|20101231030001|2010-12-31_0300_US_MSNBC_The_Last_Word_With_Lawrence_ODonnell
COL|Communication Studies Archive, UCLA 
UID|65d572e2-1492-11e0-9d5b-001517add60e
DUR|0:59:39.60
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-30 19:00 America/Los_Angeles
SEG_01|2014-06-18 18:31:38|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101231030022.000|20101231031243.000|SEG|Type=Story
20101231030022.000|20101231030023.000|CC1|>>> AMERICA'S PRISONS,          
20101231030023.000|20101231030026.000|CC1|DANGEROUS, OFTEN DEADLY.        
20101231030026.000|20101231030030.000|CC1|THERE ARE 2 MILLION PEOPLE DOING
20101231030030.000|20101231030033.000|CC1|TIME.                           
20101231030033.000|20101231030037.000|CC1|EVERY DAY IS A BATTLE TO SUR    
20101231030037.000|20101231030038.000|CC1|SURVIVE                         
20101231030038.000|20101231030039.000|CC1|AND MAINTAIN ORDER.             
20101231030039.000|20101231030040.000|CC1|>> DOWN OR YOUR FEET!           
20101231030040.000|20101231030043.000|CC1|>> CORCORAN, SEVERELY           
20101231030043.000|20101231030044.000|CC1|OVERCROWDED AND PLAGUED BY      
20101231030044.000|20101231030045.000|CC1|RACIAL TENSION.                 
20101231030045.000|20101231030047.000|CC1|WE SPENT MONTHS INSIDE WHERE    
20101231030047.000|20101231030048.000|CC1|OFFICERS TRY TO MAINTAIN ORDER  
20101231030048.000|20101231030053.000|CC1|IN AN INSTITUTION IN A          
20101231030053.000|20101231030055.000|CC1|NOTORIOUSLY VIOLENT PAST.       
20101231030055.000|20101231030057.000|CC1|THIS IS "LOCK-UP -- CORCORAN    
20101231030057.000|20101231030102.000|CC1|EXTENDED STAY."                 
20101231030102.000|20101231030104.000|CC1|>> ON THE GROUND!               
20101231030104.000|20101231030107.000|CC1|>> IN CORCORAN, SURVIVAL IS THE 
20101231030107.000|20101231030110.000|CC1|NUMBER ONE PRIORITY FOR INMATES 
20101231030110.000|20101231030115.000|CC1|AND VRSS ALIKE.                 
20101231030115.000|20101231030116.000|CC1|>> THIS IS WHAT I WANT TO DO    
20101231030116.000|20101231030117.000|CC1|WHILE I'M HERE.                 
20101231030117.000|20101231030119.000|CC1|>> WHETHER IT'S INMATES ADHERING
20101231030119.000|20101231030120.000|CC1|TO RACIAL POLITICS OR OFFICERS  
20101231030120.000|20101231030121.000|CC1|KEEPING THEMSELVES AND THE      
20101231030121.000|20101231030124.000|CC1|POPULATION SAFE.                
20101231030124.000|20101231030126.000|CC1|>> THIS IS WHAT WE'RE LOOKING   
20101231030126.000|20101231030126.000|CC1|FOR.                            
20101231030126.000|20101231030128.000|CC1|ANYTIME WE GET WEAPONS OUT OF   
20101231030128.000|20101231030129.000|CC1|THE CELL MEANS ONELESS WEAPON   
20101231030129.000|20101231030131.000|CC1|OUT ON THE YARD, ONE LESS WEAPON
20101231030131.000|20101231030132.000|CC1|THAT CAN BE USED AGAINST STAFF. 
20101231030132.000|20101231030135.000|CC1|>> WHEN THESE TWO SIDES ARE     
20101231030135.000|20101231030135.000|CC1|FIGHTING TO SURVIVE --          
20101231030135.000|20101231030137.000|CC1|>> I DON'T CARE BECAUSE HE WEAR 
20101231030137.000|20101231030137.000|CC1|GREEN.                          
20101231030137.000|20101231030138.000|CC1|HE BLEED JUST LIKE I BLEED.     
20101231030138.000|20101231030157.000|CC1|>> THE RESULTS CAN BE EXPLOSIVE.
20101231030157.000|20101231030159.000|CC1|IN THE FOUR MONTHS WE SPENT     
20101231030159.000|20101231030200.000|CC1|INSIDE CORCORAN, OUR PRODUCERS  
20101231030200.000|20101231030202.000|CC1|SAW VIOLENCE ERUPT MANY TIMES,  
20101231030202.000|20101231030203.000|CC1|THOUGH NEVER BETWEEN INMATES AND
20101231030203.000|20101231030206.000|CC1|OFFICERS.                       
20101231030206.000|20101231030208.000|CC1|AS WE NEARED THE END OF OUR     
20101231030208.000|20101231030210.000|CC1|STAY, NO ONE FORESAW THE        
20101231030210.000|20101231030211.000|CC1|GREATEST THREAT FROM CORCORAN   
20101231030211.000|20101231030213.000|CC1|STAFF MIGHT COME FROM AN EVENT  
20101231030213.000|20101231030214.000|CC1|IN A CALIFORNIA PRISON MORE THAN
20101231030214.000|20101231030217.000|CC1|100 MILES AWAY.                 
20101231030217.000|20101231030219.000|CC1|>> THREE GUARDS AND TWO INMATES 
20101231030219.000|20101231030221.000|CC1|WERE TAKEN TO AREA HOSPITALS    
20101231030221.000|20101231030222.000|CC1|THIS AFTERNOON AFTER A STABBING 
20101231030222.000|20101231030225.000|CC1|IN THE MAXIMUM SECURITY AREA.   
20101231030225.000|20101231030228.000|CC1|TWO USED HOMEMADE WEAPONS TO    
20101231030228.000|20101231030230.000|CC1|STAB TWO SERGEANTS AND A        
20101231030230.000|20101231030230.000|CC1|CORRECTIONAL OFFICER AROUND 1:00
20101231030230.000|20101231030237.000|CC1|THIS AFTERNOON.                 
20101231030237.000|20101231030239.000|CC1|>> IT'S SIGNIFICANT ENOUGH WE   
20101231030239.000|20101231030242.000|CC1|LOCKED DOWN THE WHOLE SYSTEM.   
20101231030242.000|20101231030245.000|CC1|IT HAD TO DO WITH GANGS.        
20101231030245.000|20101231030246.000|CC1|IN THIS PARTICULAR CASE, THE    
