TOP|20101213190001|2010-12-13_1900_US_KCBS_CBS_2_News_at_11
COL|Communication Studies Archive, UCLA 
UID|30346aee-06eb-11e0-b543-00e0815ffae2
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-13 11:00 America/Los_Angeles
SEG_01|2014-02-03 01:06:33|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101213190216.714|20101213190218.143|CCO|HAD MORNING IN A MURDER FOR
20101213190218.143|20101213190219.571|CCO|HIRE PLOT INTENDING TO KILL
20101213190219.571|20101213190221.000|CCO|HIS WIFE.
20101213190221.000|20101213190222.429|CCO|CHEF CRUZ USED TO HOST
20101213190222.429|20101213190223.857|CCO|CALORIE COMMANDO ON THE FOOD
20101213190223.857|20101213190225.286|CCO|NETWORK.
20101213190225.286|20101213190226.714|CCO|EARLIER HE PLED NO CONTEST
20101213190226.714|20101213190228.143|CCO|TO SOLICITING HOMELESS MEN
20101213190228.143|20101213190229.571|CCO|TO CARRY OUT THE MURDER OF
20101213190229.571|20101213190231.000|CCO|HIS WIFE.
20101213190231.000|20101213190232.429|CCO|ONE OF THE MEN CONTACTED THE
20101213190232.429|20101213190233.857|CCO|SANTA MONICA POLICE AND
20101213190233.857|20101213190235.286|CCO|CRUZ'S WIFE WAS NEVER
20101213190235.286|20101213190236.714|CCO|HARMED.
20101213190236.714|20101213190238.143|CCO|THIS WEEK HE WAS SENTENCED
20101213190238.143|20101213190239.571|CCO|NEAR LAX TO NINE YEARS IN
20101213190239.571|20101213190241.000|CCO|STATE PRISON.
20101213190241.000|20101213190242.250|CCO|HE HAS BEEN GIVEN A YEAR'S
20101213190242.250|20101213190243.500|CCO|CREDIT FOR TIME SERVED.
20101213190243.500|20101213190244.750|CCO|SIBILA.
20101213190244.750|20101213190246.000|CCO|SIBILA: A FEDERAL JUDGE SAID
20101213190246.000|20101213190247.250|CCO|THAT ONE OF THE KEY PARTS OF
20101213190247.250|20101213190248.500|CCO|THE NEW HEALTH CARE LAW IS
20101213190248.500|20101213190249.750|CCO|UNCONSTITUTIONAL.
20101213190249.750|20101213190251.000|CCO|THE JUDGE'S FIRST STRIKE
20101213190251.000|20101213190252.250|CCO|DOWN OF THE LAW WHICH HAS
20101213190252.250|20101213190253.500|CCO|BEEN UPHELD BY TWO OTHER
20101213190253.500|20101213190254.750|CCO|FEDERAL JUDGES OR OTHER
20101213190254.750|20101213190256.000|CCO|FEDERAL JUDGES.
20101213190256.000|20101213190257.250|CCO|THE WHITE HOUSE TOLD
20101213190257.250|20101213190258.500|CCO|REPORTERS THAT THE RULING
20101213190258.500|20101213190259.750|CCO|WILL HAVE NO IMPACT ON THE
20101213190259.750|20101213190301.000|CCO|LAW.
20101213190301.000|20101213190302.429|CCO|IT IS TWO MAJOR PROVISION
20101213190302.429|20101213190303.857|CCO|THAT'S WILL NOT TAKE EFFECT
20101213190303.857|20101213190305.286|CCO|UNTIL 2014.
20101213190305.286|20101213190306.714|CCO|UNTIL THE U.S. SUPREME COURT
20101213190306.714|20101213190308.143|CCO|HAS ISSUED CONFLICTED
20101213190308.143|20101213190309.571|CCO|RULINGS ABOUT THE
20101213190309.571|20101213190311.000|CCO|CONSTITUTIONALITY.
20101213190311.000|20101213190312.111|CCO|>> ON ANOTHER NOTE.
20101213190312.111|20101213190313.222|CCO|IT FELT LIKE THE SUMMER
20101213190313.222|20101213190314.333|CCO|WEEKEND.
20101213190314.333|20101213190315.444|CCO|MOST OF US WERE OUT THERE
20101213190315.444|20101213190316.556|CCO|DOING OUR HOLIDAY SHOPPING.
20101213190316.556|20101213190317.667|CCO|IT WILL BE COOLING OFF THIS
20101213190317.667|20101213190318.778|CCO|WEEK.
20101213190318.778|20101213190319.889|CCO|MAYBE LOOK FOR RAIN IN THE
20101213190319.889|20101213190321.000|CCO|FUTURE.
20101213190321.000|20101213190322.250|CCO|CBS2'S, CHIEF METEOROLOGIST
20101213190322.250|20101213190323.500|CCO|JOSH RUBENSTEIN IS HERE WITH
20101213190323.500|20101213190324.750|CCO|THE WEATHER.
20101213190324.750|20101213190326.000|CCO|JOSH: THAT IS RIGHT.
20101213190326.000|20101213190327.250|CCO|DID YOU PUT THE TOP DOWN?
20101213190327.250|20101213190328.500|CCO|MUSIC CRANKED UP.
20101213190328.500|20101213190329.750|CCO|A LOVELY WEEKEND FOR
20101213190329.750|20101213190331.000|CCO|EVERYBODY.
20101213190331.000|20101213190332.667|CCO|TEMPERATURES INTO THE 80s
20101213190332.667|20101213190334.333|CCO|AND THE PLENTY OF SUNSHINE
20101213190334.333|20101213190336.000|CCO|HERE.
20101213190336.000|20101213190337.667|CCO|BLUE RIDGE CAMERA.
20101213190337.667|20101213190339.333|CCO|WE BROKE A BUNCH OF RECORDS
20101213190339.333|20101213190341.000|CCO|HERE OVER THE WEEKEND.
20101213190341.000|20101213190342.250|CCO|A LOOK LIEU AT WHAT WE HAVE
20101213190342.250|20101213190343.500|CCO|GOT.
20101213190343.500|20101213190344.750|CCO|UCLA LONG BEACH.
20101213190344.750|20101213190346.000|CCO|BURBANK 85 CAMARILLO.
20101213190346.000|20101213190347.250|CCO|88 DEGREES.
20101213190347.250|20101213190348.500|CCO|WHAT DO WE HAVE FOR THE DAY
20101213190348.500|20101213190349.750|CCO|IN.
20101213190349.750|20101213190351.000|CCO|>> 80S OUT THERE INTO THE
20101213190351.000|20101213190352.667|CCO|UPPER 70S INTO THE BASIN.
20101213190352.667|20101213190354.333|CCO|70S AND THE 50s BY THE
20101213190354.333|20101213190356.000|CCO|DESERT.
20101213190356.000|20101213190357.667|CCO|AND 60S INTO THE MOUNTAIN
20101213190357.667|20101213190359.333|CCO|COMMUNITIES.
20101213190359.333|20101213190401.000|CCO|TOPPING OUT AT 82.
20101213190401.000|20101213190402.429|CCO|DOWNTOWN, THE RECORD IS 83.
20101213190402.429|20101213190403.857|CCO|WE WILL BE FLIRTING WITH
20101213190403.857|20101213190405.286|CCO|RECORD-BREAKING HEAT HERE
20101213190405.286|20101213190406.714|CCO|INTO THE AFTERNOON.
20101213190406.714|20101213190408.143|CCO|UNFORLTLY, IT IS A ONE-DAY
20101213190408.143|20101213190409.571|CCO|AFFAIR RIGHT NOW.
20101213190409.571|20101213190411.000|CCO|WE WILL COOL DOWN.
20101213190411.000|20101213190412.000|CCO|THERE IS A CHANCE OF RAIN IN
20101213190412.000|20101213190413.000|CCO|THE FORECAST.
20101213190413.000|20101213190414.000|CCO|MORE ON THAT IN A FEW
20101213190414.000|20101213190415.000|CCO|MINUTES.
20101213190415.000|20101213190416.000|CCO|>> RAIN AT THE END OF THE
20101213190416.000|20101213190417.000|CCO|WEEK.
20101213190417.000|20101213190418.000|CCO|BACK TO YOU GUYS.
20101213190418.000|20101213190419.000|CCO|>> NICE AS LONG AS IT LASTED
20101213190419.000|20101213190420.000|CCO|JOSH THANKS.
20101213190420.000|20101213190421.000|CCO|>> AFTER A BUSY WEEKEND AT
20101213190421.000|20101213190422.111|CCO|THE MALL.
20101213190422.111|20101213190423.222|CCO|THE CLOCK IS TICKING THIS
20101213190423.222|20101213190424.333|CCO|MORNING.
20101213190424.333|20101213190425.444|CCO|IF YOU WANT TO SHIP YOUR
20101213190425.444|20101213190426.556|CCO|HOLIDAY GIFTS TO ARRIVE BY
20101213190426.556|20101213190427.667|CCO|CHRISTMAS.
20101213190427.667|20101213190428.778|CCO|TODAY IS THE BIGGEST
20101213190428.778|20101213190429.889|CCO|SHIPPING DAY OF THE YEAR.
20101213190429.889|20101213190431.000|CCO|CBS2'S, SURAYA FADEL IS LIVE
20101213190431.000|20101213190432.250|CCO|FROM THE AIRPORT POST OFFICE
20101213190432.250|20101213190433.500|CCO|THERE.
20101213190433.500|20101213190434.750|CCO|WHERE SURAYA THINGS ARE
20101213190434.750|20101213190436.000|CCO|GETTING MOVING LATER ON.
20101213190436.000|20101213190437.250|CCO|>> THAT'S RIGHT.
20101213190437.250|20101213190438.500|CCO|OFFICIALS TELL THAT YOU SAY
20101213190438.500|20101213190439.750|CCO|THE MESSAGE IS NOT TO
20101213190439.750|20101213190441.000|CCO|PROCRASTINATE.
20101213190441.000|20101213190442.429|CCO|SHIP EARLY.
20101213190442.429|20101213190443.857|CCO|SHOP NOW.
20101213190443.857|20101213190445.286|CCO|THIS POST OFFICE HERE BEHIND
20101213190445.286|20101213190446.714|CCO|ME IS OPENED MONDAY THROUGH
20101213190446.714|20101213190448.143|CCO|FRIDAY UNTIL 10:00 TONIGHT
20101213190448.143|20101213190449.571|CCO|AND THE WEEKENDS UNTIL 9:00
20101213190449.571|20101213190451.000|CCO|AT NIGHT.
20101213190451.000|20101213190452.429|CCO|PACK HERD SINCE 8:00 THIS
20101213190452.429|20101213190453.857|CCO|MORNING.
20101213190453.857|20101213190455.286|CCO|>> AS SOON AS YOU GET IT
20101213190455.286|20101213190456.714|CCO|DONE.
20101213190456.714|20101213190458.143|CCO|CUSTOMERS LIKE KEITH AND PAT
20101213190458.143|20101213190459.571|CCO|BALANCE ARRESTED ARE I CAN
20101213190459.571|20101213190501.000|CCO|MAING A MAD DASH TO SEND OUT
20101213190501.000|20101213190502.250|CCO|THE OL HOLIDAY PACKAGES TO
20101213190502.250|20101213190503.500|CCO|LOVED ONES ACROSS THE
20101213190503.500|20101213190504.750|CCO|COUNTRY.
20101213190504.750|20101213190506.000|CCO|WE THOUGHT THAT WE WOULD HIT
20101213190506.000|20101213190507.250|CCO|IT EARLY AND THAT THE CROWDS
20101213190507.250|20101213190508.500|CCO|WOULD BE GONE.
20101213190508.500|20101213190509.750|CCO|TODAY MARKS THE BUSIEST
20101213190509.750|20101213190511.000|CCO|SHIPPING DAY OF THE YEAR AND
20101213190511.000|20101213190513.000|CCO|IT WILL PREDICT RECORDS FOR
20101213190513.000|20101213190515.000|CCO|THE L.A. AREA WITH 12 DAYS
20101213190515.000|20101213190517.000|CCO|LEFT TO SHIP OUT.
20101213190517.000|20101213190519.000|CCO|THE POSTAL SERVICE, UPS AND
20101213190519.000|20101213190521.000|CCO|FED-EX WILL MAKE SURE THAT
20101213190521.000|20101213190721.000|CCO|THE EXTRA VOLUME OF PACKAGES
20101213190721.000|20101213190722.250|CCO|ARE DELIVERED ON TIME.
20101213190722.250|20101213190723.500|CCO|F8
20101213190723.500|20101213190724.750|CCO|?Ñi]IÑç<iÑ)?Yy?ÑZb?ñrñHrñrçóñrç?r+++3
20101213190724.750|20101213190726.000|CCO|SIBILA: WELL THOUSANDS WILL
20101213190726.000|20101213190727.250|CCO|GET INTO SCHOOL LUNCH
20101213190727.250|20101213190728.500|CCO|PROGRAMS COMING UP ON "CBS 2
20101213190728.500|20101213190729.750|CCO|NEWS" AT 11:00 AM.
20101213190729.750|20101213190731.000|CCO|THE CHANGE THAT'S WILL GO
20101213190731.000|20101213190732.429|CCO|INTO EFFECT INCLUDING MAKING
20101213190732.429|20101213190733.857|CCO|THE MEALS.
20101213190733.857|20101213190735.286|CCO|KENT: AND THE METRODOME
20101213190735.286|20101213190736.714|CCO|FOOTBALL STADIUM ROOF
20101213190736.714|20101213190738.143|CCO|COLLAPSES UNDER THE WEIGHT
20101213190738.143|20101213190739.571|CCO|OF A WEEKEND BLIZZARD.
20101213190739.571|20101213190741.000|CCO|WE WILL SHOW YOU MORE WICKED
20101213190741.000|20101213190742.429|CCO|WEATHER.
20101213190742.429|20101213190743.857|CCO|SIBILA: ALSO THE WEEKEND BOX
20101213190743.857|20101213190745.286|CCO|OFFICE NUMBERS.
20101213190745.286|20101213190746.714|CCO|FIND OUT HOW THE LATEST
20101213190746.714|20101213190748.143|CCO|EDITION OF THE CHRONICLES OF
20101213190748.143|20101213190749.571|CCO|NARNIA DID.
20101213190749.571|20101213190751.000|CCO|KENT: TOP STORIES ON
20101213190751.000|20101213191041.000|CCO|CBSLA.COM.
20101213191041.000|20101213191042.667|CCO|CBSLA.COM IS ALWAYS ON.ooMçl-V-
20101213191042.667|20101213191044.333|CCO|KENT: ADJUST SIGNED NEW
20101213191044.333|20101213191046.000|CCO|CHILD NUTRITION BILL IN
20101213191046.000|20101213191047.667|CCO|WASHINGTON, D.C. MEANS
20101213191047.667|20101213191049.333|CCO|ADDITIONAL SCHOOL MEALS FOR
20101213191049.333|20101213191051.000|CCO|KIDS IN SOUTHERN CALIFORNIA
20101213191051.000|20101213191052.667|CCO|AND THE NATION.
20101213191052.667|20101213191054.333|CCO|THE BILL WAS A PRIORITY FOR
20101213191054.333|20101213191056.000|CCO|FIRST LADY MICHELLE OBAMA
20101213191056.000|20101213191057.667|CCO|WHO LAUNCHED A CAMPAIGN TO
20101213191057.667|20101213191059.333|CCO|FIGHT CHILDHOOD OBESITY.
20101213191059.333|20101213191101.000|CCO|IT WAS A MUST DO FOR THE
20101213191101.000|20101213191103.000|CCO|PRESIDENT.
20101213191103.000|20101213191105.000|CCO|>> MY HUSBAND WORKED VERY
20101213191105.000|20101213191107.000|CCO|HARD TO MAKE SURE THAT THIS
20101213191107.000|20101213191109.000|CCO|BILL WAS A PRIORITY.
20101213191109.000|20101213191111.000|CCO|IN THE SESSION, I AM
20101213191111.000|20101213191112.429|CCO|GRATEFUL TO YOU.
20101213191112.429|20101213191113.857|CCO|>> I WOULD HAVE BEEN
20101213191113.857|20101213191115.286|CCO|SLEEPING ON THE COUCH.
20101213191115.286|20101213191116.714|CCO|[LAUGHTER]
20101213191116.714|20101213191118.143|CCO|>> NO, BUT I AM THRILLED TO
20101213191118.143|20101213191119.571|CCO|BE HERE.
20101213191119.571|20101213191121.000|CCO|WE WILL NOT GO INTO THAT.
20101213191121.000|20101213191123.000|CCO|[LAUGHTER]
20101213191123.000|20101213191125.000|CCO|>> NEW MEASURE EXPANDS
20101213191125.000|20101213191127.000|CCO|NATIONWIDE.
20101213191127.000|20101213191129.000|CCO|4 BILLION DOLLARS TO IMPROVE
20101213191129.000|20101213191131.000|CCO|THE QUALITY OF FOOD CHILDREN
20101213191131.000|20101213191132.250|CCO|AT EAT AT SCHOOL AND 20
20101213191132.250|20101213191133.500|CCO|MILLION AFTER SCHOOL MEALS
20101213191133.500|20101213191134.750|CCO|SERVED IN THE COUNTRY.
20101213191134.750|20101213191136.000|CCO|MOST ARE WHAT ARE AFTER
20101213191136.000|20101213191137.250|CCO|SCHOOL SNACKS.
20101213191137.250|20101213191138.500|CCO|SIBILA.
20101213191138.500|20101213191139.750|CCO|SIBILA: THE VOTE IS EXPECTED
20101213191139.750|20101213191141.000|CCO|TO ALLOW CORPORATE
20101213191141.000|20101213191143.000|CCO|ADVERTISING ON L.A. SCHOOLS.
