TOP|20110112010001|2011-01-12_0100_US_KABC_Eyewitness_News_5PM
COL|Communication Studies Archive, UCLA 
UID|a2f4c522-1def-11e0-9569-001517add720
DUR|0:59:43.07
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-11 17:00 America/Los_Angeles
SEG_01|2014-02-14 18:21:57|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110112010002.000|20110112015944.000|SEG|Type=Story
20110112010002.000|20110112010004.000|CC1|TODAY SURROUNDED BY A TIGHT     
20110112010004.000|20110112010007.000|CC1|SECURITY DETAIL ARIZONA'S       
20110112010007.000|20110112010008.000|CC1|GOVERNOR JAN BREWER SHOWED UP TO
20110112010008.000|20110112010009.000|CC1|SHOW HER SUPPORT FOR THE        
20110112010009.000|20110112010012.000|CC1|SHOOTING VICTIMS, AMONG THEM    
20110112010012.000|20110112010013.000|CC1|CONGRESSWOMAN GABRIELLE GIFFORDS
20110112010013.000|20110112010015.000|CC1|WHO IS NOW BREATHING ON HER OWN.
20110112010015.000|20110112010017.000|CC1|>> A PENETRATING INJURY THROUGH 
20110112010017.000|20110112010019.000|CC1|THE SKULL, REALLY THE SURVIVAL, 
20110112010019.000|20110112010021.000|CC1|LET ALONE RECOVERY IS A BUSINESS
20110112010021.000|20110112010021.000|CC1|MAL.                            
20110112010021.000|20110112010024.000|CC1|SHE HAS NO RIGHT TO LOOK THIS   
20110112010024.000|20110112010026.000|CC1|GOOD BUT SHE DOES.              
20110112010026.000|20110112010029.000|CC1|>> Reporter: THIS MAN SAYS HIS  
20110112010029.000|20110112010030.000|CC1|WIFE BROUGHT CHRISTINA GREEN TO 
20110112010030.000|20110112010032.000|CC1|THE EVENT ON SATURDAY.          
20110112010032.000|20110112010036.000|CC1|THE TWO WERE HOLDING HANDS WHEN 
20110112010036.000|20110112010040.000|CC1|SHOT,.                          
20110112010040.000|20110112010042.000|CC1|>> SHE LOOKED ME IN THE EYES AND
20110112010042.000|20110112010045.000|CC1|SAID, WHAT ABOUT CHRISTINA.     
20110112010045.000|20110112010046.000|CC1|>> Reporter: TOMORROW PRESIDENT 
20110112010046.000|20110112010047.000|CC1|OBAMA WILL ATTEND A MEMORIAL IN 
20110112010047.000|20110112010049.000|CC1|TUCSON WHERE HE'LL MEET WITH    
20110112010049.000|20110112010050.000|CC1|VICTIM'S FAMILY MEMBERS, ONE    
20110112010050.000|20110112010052.000|CC1|FAMILY THAT WILL CONTINUE TO    
20110112010052.000|20110112010055.000|CC1|HEAR PRAISE IS THAT OF DORWAN   
20110112010055.000|20110112010057.000|CC1|STODDARD, THE 76-YEAR-OLD DIED  
20110112010057.000|20110112010059.000|CC1|SATURDAY AFTER BLOCKING THE     
20110112010059.000|20110112010102.000|CC1|BULLETS AIMED AT HIS WIFE.      
20110112010102.000|20110112010102.000|CC1|>> DAD LAID DYING.              
20110112010102.000|20110112010104.000|CC1|MOM DIDN'T KNOW SHE HAD BEEN    
20110112010104.000|20110112010104.000|CC1|HURT.                           
20110112010104.000|20110112010107.000|CC1|SHE THOUGHT SHE WAS HOLDING HIM 
20110112010107.000|20110112010109.000|CC1|AND HER LEG STARTED HURTING, AND
20110112010109.000|20110112010110.000|CC1|IT WASN'T UNTIL SHE GOT TO THE  
20110112010110.000|20110112010112.000|CC1|HOSPITAL THAT SHE EVEN REALIZED 
20110112010112.000|20110112010114.000|CC1|THAT SHE HAD BEEN SHOT.         
20110112010114.000|20110112010114.000|CC1|>> Reporter: WE'D LIKE TO TAKE  
20110112010114.000|20110112010116.000|CC1|YOU TO A LIVE PICTURE OF A      
20110112010116.000|20110112010117.000|CC1|MEMORIAL SERVICE THAT WILL BE   
20110112010117.000|20110112010119.000|CC1|HELD TONIGHT IN TUCSON FOR THE  
20110112010119.000|20110112010122.000|CC1|VICTIMS OF SATURDAY'S TRAGEDY.  
20110112010122.000|20110112010124.000|CC1|THIS IS SEPARATE FROM THE       
20110112010124.000|20110112010126.000|CC1|MEMORIAL THAT WILL BE HELD      
20110112010126.000|20110112010128.000|CC1|TOMORROW EVENING, THAT'S WHERE  
20110112010128.000|20110112010130.000|CC1|PRESIDENT OBAMA WILL ATTEND AND 
20110112010130.000|20110112010130.000|CC1|SPEAK.                          
20110112010130.000|20110112010133.000|CC1|NOW LATE TODAY LAWMAKERS PASSED 
20110112010133.000|20110112010137.000|CC1|EMERGENCY LEGISLATION TO BAN    
20110112010137.000|20110112010138.000|CC1|PROTESTORS FROM THE FUNERAL OF  
20110112010138.000|20110112010139.000|CC1|9-YEAR-OLD CHRISTINA GREEN.     
20110112010139.000|20110112010141.000|CC1|THE WESTBORO BAPTIST CHURCH     
20110112010141.000|20110112010143.000|CC1|REGULARLY DEMONSTRATES AT       
20110112010143.000|20110112010145.000|CC1|MILITARY FUNERALS, BECAUSE THEY 
20110112010145.000|20110112010147.000|CC1|BELIEVE THOSE DEATHS ARE GOD'S  
20110112010147.000|20110112010148.000|CC1|PUNISHMENT FOR HOME OWE         
20110112010148.000|20110112010148.000|CC1|SEXUALITY.                      
20110112010148.000|20110112010150.000|CC1|THEY WERE PLANNING TO ATTEND    
20110112010150.000|20110112010151.000|CC1|GREEN'S SERVICES ON SATURDAY.   
20110112010151.000|20110112010153.000|CC1|LIVE IN THE NEWSROOM, SUBHA     
20110112010153.000|20110112010155.000|CC1|RAVINDHRAN, ABC 7 "EYEWITNESS   
20110112010155.000|20110112010155.000|CC1|NEWS."                          
20110112010155.000|20110112010156.000|CC1|MICHELLE: THANK YOU.            
20110112010156.000|20110112010200.000|CC1|HOUSE MINORITY LEADER NANCY     
20110112010200.000|20110112010203.000|CC1|PELOSI PAID A VISIT TO TODAY TO 
20110112010203.000|20110112010205.000|CC1|CONGRESSWOMAN'S GIFFORDS OFFICE 
20110112010205.000|20110112010206.000|CC1|IN WASHINGTON D.C.              
20110112010206.000|20110112010208.000|CC1|SHE OFFERED HER SUPPORT IN THE  
20110112010208.000|20110112010209.000|CC1|WAKE OF SATURDAY'S TRAGEDY IN   
20110112010209.000|20110112010210.000|CC1|TUCSON.                         
20110112010210.000|20110112010211.000|CC1|SHE WAS THERE FOR ABOUT 20      
20110112010211.000|20110112010212.000|CC1|MINUTES AND LEFT WOULD IT       
20110112010212.000|20110112010214.000|CC1|SPEAKING TO REPORTERS.          
20110112010214.000|20110112010215.000|CC1|NEW AT 5:00 THERE ARE REPORTS OF
20110112010215.000|20110112010217.000|CC1|A SHARP INCREASE IN THE SALE OF 
20110112010217.000|20110112010218.000|CC1|HANDGUNS IN ARIZONA FOLLOWING   
20110112010218.000|20110112010220.000|CC1|THE TUCSON TRAGEDY AS           
20110112010220.000|20110112010221.000|CC1|"EYEWITNESS NEWS" REPORTER JOHN 
20110112010221.000|20110112010222.000|CC1|NORTH TELLS US THE SHOOTING HAS 
20110112010222.000|20110112010224.000|CC1|TRIGGERED A FRESH DEBATE OVER   
20110112010224.000|20110112010225.000|CC1|GUN CONTROL LAWS AND SECURITY   
20110112010225.000|20110112010230.000|CC1|FOR OUR NATION'S LAWMAKERS.     
20110112010230.000|20110112010230.000|CC1|>> Reporter: CALIFORNIA SENATOR 
20110112010230.000|20110112010231.000|CC1|BARBARA BOXER HELD A NEWS       
20110112010231.000|20110112010232.000|CC1|CONFERENCE IN RIVERSIDE.        
20110112010232.000|20110112010234.000|CC1|THERE WERE AT LEAST SIX SECURITY
20110112010234.000|20110112010236.000|CC1|OFFICERS FROM THE DISTRICT      
20110112010236.000|20110112010237.000|CC1|ATTORNEY'S OFFICE.              
20110112010237.000|20110112010239.000|CC1|BOXER'S STAFF DIDN'T ASK FOR    
20110112010239.000|20110112010239.000|CC1|THEM.                           
