TOP|20101218010002|2010-12-18_0100_US_FOX-News_The_OReilly_Factor
COL|Communication Studies Archive, UCLA 
UID|25283784-0a42-11e0-b922-00e0815fe826
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-17 17:00 America/Los_Angeles
SEG_01|2014-06-18 18:15:38|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101218010004.105|20101218015957.000|SEG|Type=Story
20101218010004.105|20101218015957.000|SEG_01|Type=Commercial
20101218010004.105|20101218010004.632|CCO|MISTAKES.
20101218010004.632|20101218010005.158|CCO|
20101218010005.158|20101218010005.684|CCO|
20101218010005.684|20101218010006.211|CCO|AND NOW YOU KNOW THE NEWS.
20101218010006.211|20101218010006.737|CCO|
20101218010006.737|20101218010007.263|CCO|
20101218010007.263|20101218010007.789|CCO|IT'S FRIDAY, ENJOY YOUR WEEKEND.
20101218010007.789|20101218010008.316|CCO|
20101218010008.316|20101218010008.842|CCO|
20101218010008.842|20101218010009.368|CCO|A LOT OF SHOPPING TO DO, YOU
20101218010009.368|20101218010009.895|CCO|
20101218010009.895|20101218010010.421|CCO|
20101218010010.421|20101218010010.947|CCO|KNOW.
20101218010010.947|20101218010011.474|CCO|
20101218010011.474|20101218010012.000|CCO|
20101218010012.000|20101218010012.303|CCO|BILL DOESN'T SHOP.
20101218010012.303|20101218010012.606|CCO|
20101218010012.606|20101218010012.909|CCO|
20101218010012.909|20101218010013.212|CCO|>> Bill: "THE O'REILLY FACTOR"
20101218010013.212|20101218010013.515|CCO|
20101218010013.515|20101218010013.818|CCO|
20101218010013.818|20101218010014.121|CCO|IS ON.
20101218010014.121|20101218010014.424|CCO|
20101218010014.424|20101218010014.727|CCO|
20101218010014.727|20101218010015.030|CCO|TONIGHT.
20101218010015.030|20101218010015.333|CCO|
20101218010015.333|20101218010015.636|CCO|
20101218010015.636|20101218010015.939|CCO|>> THIS BILL SHOULDN'T PASS.
20101218010015.939|20101218010016.242|CCO|
20101218010016.242|20101218010016.545|CCO|
20101218010016.545|20101218010016.848|CCO|AND YOU SHOULD CALL YOUR
20101218010016.848|20101218010017.152|CCO|
20101218010017.152|20101218010017.455|CCO|
20101218010017.455|20101218010017.758|CCO|CONGRESS PEOPLE AND SENATORS AND
20101218010017.758|20101218010018.061|CCO|
20101218010018.061|20101218010018.364|CCO|
20101218010018.364|20101218010018.667|CCO|ASK THEM TO VOTE AGAINST IT.
20101218010018.667|20101218010018.970|CCO|
20101218010018.970|20101218010019.273|CCO|
20101218010019.273|20101218010019.576|CCO|>> Bill: WELL, THAT DIDN'T TAKE
20101218010019.576|20101218010019.879|CCO|
20101218010019.879|20101218010020.182|CCO|
20101218010020.182|20101218010020.485|CCO|LONG.
20101218010020.485|20101218010020.788|CCO|
20101218010020.788|20101218010021.091|CCO|
20101218010021.091|20101218010021.394|CCO|JUST BEFORE THE TALKING POINTS
20101218010021.394|20101218010021.697|CCO|
20101218010021.697|20101218010022.000|CCO|
20101218010022.000|20101218010022.667|CCO|MEMO LAST NIGHT HARRY REID
20101218010022.667|20101218010023.333|CCO|
20101218010023.333|20101218010024.000|CCO|
20101218010024.000|20101218010024.667|CCO|PULLED THE CORRUPT SPENDING BILL
20101218010024.667|20101218010025.333|CCO|
20101218010025.333|20101218010026.000|CCO|
20101218010026.000|20101218010026.667|CCO|OFF THE SENATE FLOOR.
20101218010026.667|20101218010027.333|CCO|
20101218010027.333|20101218010028.000|CCO|
20101218010028.000|20101218010028.667|CCO|WOW.
20101218010028.667|20101218010029.333|CCO|
20101218010029.333|20101218010030.000|CCO|
20101218010030.000|20101218010030.667|CCO|DO WE GET RESULTS OR WHAT?
20101218010030.667|20101218010031.333|CCO|
20101218010031.333|20101218010032.000|CCO|
20101218010032.000|20101218010032.833|CCO|[BELL]
20101218010032.833|20101218010033.667|CCO|
20101218010033.667|20101218010034.500|CCO|
20101218010034.500|20101218010035.333|CCO|>> IF YOU GET SICK, AMERICA, THE
20101218010035.333|20101218010036.167|CCO|
20101218010036.167|20101218010037.000|CCO|
20101218010037.000|20101218010037.833|CCO|REPUBLICAN HEALTH CARE PLAN IS
20101218010037.833|20101218010038.667|CCO|
20101218010038.667|20101218010039.500|CCO|
20101218010039.500|20101218010040.333|CCO|THIS, I DO QUICKLY.
20101218010040.333|20101218010041.167|CCO|
20101218010041.167|20101218010042.000|CCO|
20101218010042.000|20101218010042.556|CCO| -- DIE QUICKLY.
20101218010042.556|20101218010043.111|CCO|
20101218010043.111|20101218010043.667|CCO|
20101218010043.667|20101218010044.222|CCO|>> Bill: WAS THE EPITOME OF
20101218010044.222|20101218010044.778|CCO|
20101218010044.778|20101218010045.333|CCO|
20101218010045.333|20101218010045.889|CCO|DUMB?
20101218010045.889|20101218010046.444|CCO|
20101218010046.444|20101218010047.000|CCO|
20101218010047.000|20101218010047.556|CCO|THE LEAST INTELLIGENCE,
20101218010047.556|20101218010048.111|CCO|
20101218010048.111|20101218010048.667|CCO|
20101218010048.667|20101218010049.222|CCO|STUPIDEST STATEMENTS OF THE
20101218010049.222|20101218010049.778|CCO|
20101218010049.778|20101218010050.333|CCO|
20101218010050.333|20101218010050.889|CCO|YEAR.
20101218010050.889|20101218010051.444|CCO|
20101218010051.444|20101218010052.000|CCO|
20101218010052.000|20101218010052.833|CCO|>> I WOULD LIKE MY LIFE BACK.
20101218010052.833|20101218010053.667|CCO|
20101218010053.667|20101218010054.500|CCO|
20101218010054.500|20101218010055.333|CCO|>> Bill: LOU DOBBS ON WHERE WE
20101218010055.333|20101218010056.167|CCO|
20101218010056.167|20101218010057.000|CCO|
20101218010057.000|20101218010057.833|CCO|SHOULD PUT OUR MONEY IN 2011.
20101218010057.833|20101218010058.667|CCO|
20101218010058.667|20101218010059.500|CCO|
20101218010059.500|20101218010100.333|CCO|AND FILING A FALSE RAPE CHARGE
20101218010100.333|20101218010101.167|CCO|
20101218010101.167|20101218010102.000|CCO|
20101218010102.000|20101218010102.556|CCO|AND PRESIDENT OBAMA GETTING TAX
20101218010102.556|20101218010103.111|CCO|
20101218010103.111|20101218010103.667|CCO|
20101218010103.667|20101218010104.222|CCO|COMPROMISE.
20101218010104.222|20101218010104.778|CCO|
20101218010104.778|20101218010105.333|CCO|
20101218010105.333|20101218010105.889|CCO|>> THAT'S WHAT THEY SENT US HERE
20101218010105.889|20101218010106.444|CCO|
20101218010106.444|20101218010107.000|CCO|
20101218010107.000|20101218010107.556|CCO|TO ACHIEVE.
20101218010107.556|20101218010108.111|CCO|
20101218010108.111|20101218010108.667|CCO|
20101218010108.667|20101218010109.222|CCO|>> Bill: CAUTION, YOU ARE ABOUT
20101218010109.222|20101218010109.778|CCO|
20101218010109.778|20101218010110.333|CCO|
20101218010110.333|20101218010110.889|CCO|TO ENTER THE NO SPIN ZONE.
20101218010110.889|20101218010111.444|CCO|
20101218010111.444|20101218010112.000|CCO|
20101218010112.000|20101218010115.333|CCO|THE FACTOR BEGINS RIGHT NOW.
20101218010115.333|20101218010118.667|CCO|
20101218010118.667|20101218010122.000|CCO|
20101218010122.000|20101218010122.370|CCO|>> Bill: HI, I'M BILL O'REILLY.
20101218010122.370|20101218010122.741|CCO|
20101218010122.741|20101218010123.111|CCO|
20101218010123.111|20101218010123.481|CCO|THANKS FOR WATCHING US TONIGHT.
20101218010123.481|20101218010123.852|CCO|
20101218010123.852|20101218010124.222|CCO|
20101218010124.222|20101218010124.593|CCO|YOU WANT ACTION?
20101218010124.593|20101218010124.963|CCO|
20101218010124.963|20101218010125.333|CCO|
20101218010125.333|20101218010125.704|CCO|YOU HAVE COME TO THE RIGHT
20101218010125.704|20101218010126.074|CCO|
20101218010126.074|20101218010126.444|CCO|
20101218010126.444|20101218010126.815|CCO|PLACE.
20101218010126.815|20101218010127.185|CCO|
20101218010127.185|20101218010127.556|CCO|
20101218010127.556|20101218010127.926|CCO|THAT IS THE SUBJECT OF THIS
20101218010127.926|20101218010128.296|CCO|
20101218010128.296|20101218010128.667|CCO|
20101218010128.667|20101218010129.037|CCO|EVENING'S TALKING POINTS MEMO
20101218010129.037|20101218010129.407|CCO|
20101218010129.407|20101218010129.778|CCO|
20101218010129.778|20101218010130.148|CCO|LAST NIGHT.
20101218010130.148|20101218010130.519|CCO|
20101218010130.519|20101218010130.889|CCO|
20101218010130.889|20101218010131.259|CCO|LAST NIGHT TALKING POINTS SAID
20101218010131.259|20101218010131.630|CCO|
20101218010131.630|20101218010132.000|CCO|
20101218010132.000|20101218010132.833|CCO|THIS.
20101218010132.833|20101218010133.667|CCO|
20101218010133.667|20101218010134.500|CCO|
