TOP|20110129140000|2011-01-29_1400_RU_WWW_Russia_Today
COL|Communication Studies Archive, UCLA
UID|a86ef1ae-c7b7-11e0-957f-001fc65c7848
DUR|0:32:00.80
VID|448x336
CMT|
LAN|ENG
LBT|2011-01-29 17:00 Europe/Moscow
20110129140610.000|20110129140613.333|TR0|been secretly backing leading
20110129140613.333|20110129140616.667|TR0|figures behind the uprising in
20110129140616.667|20110129140620.000|TR0|Egypt.
20110129140620.000|20110129140625.000|TR0|
20110129140625.000|20110129140630.000|TR0|[[V/O]]
20110129140630.000|20110129140633.333|TR0|
20110129140633.333|20110129140636.667|TR0|It comes as dozens have been
20110129140636.667|20110129140640.000|TR0|killed and over two thousand
20110129140640.000|20110129140645.000|TR0|injured in the violent
20110129140645.000|20110129140650.000|TR0|anti-government protests since
20110129140650.000|20110129140653.333|TR0|Tuesday.
20110129140653.333|20110129140656.667|TR0|
20110129140656.667|20110129140700.000|TR0|Demonstrators are demanding that
20110129140700.000|20110129140705.000|TR0|President Mubarak steps down,
20110129140705.000|20110129140710.000|TR0|but he's refusing to quit.
20110129140710.000|20110129140713.333|TR0|
20110129140713.333|20110129140716.667|TR0|Instead he's dismissed his
20110129140716.667|20110129140720.000|TR0|government and is now preparing
20110129140720.000|20110129140725.000|TR0|to appoint a new cabinet.
20110129140725.000|20110129140730.000|TR0|
20110129140730.000|20110129140733.333|TR0|The unrest follows similar riots
20110129140733.333|20110129140736.667|TR0|in Tunisia, whose President was
20110129140736.667|20110129140740.000|TR0|toppled before fleeing into
20110129140740.000|20110129140745.000|TR0|exile.
20110129140745.000|20110129140750.000|TR0|
20110129140750.000|20110129140753.333|TR0|RT's Paula Slier has the latest
20110129140753.333|20110129140756.667|TR0|from the Egyptian capital,
20110129140756.667|20110129140800.000|TR0|Cairo...
20110129140800.000|20110129140805.000|TR0|
20110129140805.000|20110129140810.000|TR0|[[GRAB]]
20110129140810.000|20110129140813.333|TR0|
20110129140813.333|20110129140816.667|TR0|[[IV]]
20110129140816.667|20110129140820.000|TR0|
20110129140820.000|20110129140823.333|TR0|You're with RT, still ahead for
20110129140823.333|20110129140826.667|TR0|you this hour ... misplaced
20110129140826.667|20110129140830.000|TR0|priorities...
20110129140830.000|20110129140835.000|TR0|
20110129140835.000|20110129140840.000|TR0|[[VO]] As the insurgency in
20110129140840.000|20110129140843.333|TR0|Afghanistan continues to claim
20110129140843.333|20110129140846.667|TR0|lives, RT's military contibutor
20110129140846.667|20110129140850.000|TR0|says the U.S. is looking in the
20110129140850.000|20110129140855.000|TR0|wrong place for a solution.
20110129140855.000|20110129140900.000|TR0|Plus...
20110129140900.000|20110129140903.333|TR0|
20110129140903.333|20110129140906.667|TR0|[[READ ON]]
20110129140906.667|20110129140910.000|TR0|
20110129140910.000|20110129140915.000|TR0|With the World Economic Forum in
20110129140915.000|20110129140920.000|TR0|Davos drawing to a close, we
20110129140920.000|20110129140923.333|TR0|report on how Russia plans to
20110129140923.333|20110129140926.667|TR0|create a common economic space
20110129140926.667|20110129140930.000|TR0|with the EU.
20110129140930.000|20110129140935.000|TR0|
20110129140935.000|20110129140940.000|TR0|That's coming up in our business
20110129140940.000|20110129140943.333|TR0|bulletin in about ten minutes.
20110129140943.333|20110129140946.667|TR0|
20110129140946.667|20110129140950.000|TR0|[[IV]]
20110129140950.000|20110129140955.000|TR0|
