TOP|20101216180001|2010-12-16_1800_US_MSNBC_News_Live
COL|Communication Studies Archive, UCLA 
UID|4daeb0c0-093e-11e0-a715-00e0815fe86a
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-16 10:00 America/Los_Angeles
SEG_01|2014-06-18 18:11:39|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101216180006.714|20101216180235.000|SEG|Type=Story
20101216180006.714|20101216180008.143|CCO|A
20101216180008.143|20101216180009.571|CCO|HAVE HAD FAITH IN ME, WHO HAVE 
20101216180009.571|20101216180011.000|CCO|SUPPORTED MY TEAM WHILE I HAVE 
20101216180011.000|20101216180014.333|CCO|BEEN AWAY TO MY LAWYERS WHO HAVE
20101216180014.333|20101216180017.667|CCO|PUT UP A BRAVE AND ULTIMATELY 
20101216180017.667|20101216180021.000|CCO|SUCCESSFUL FIGHT.
20101216180021.000|20101216180023.500|CCO|PEOPLE WHO PROVIDED MONEY IN THE
20101216180023.500|20101216180026.000|CCO|FACE OF GREAT DIFFICULTY AND 
20101216180026.000|20101216180028.500|CCO|AVERSION.
20101216180028.500|20101216180031.000|CCO|AND TO MEMBERS OF THE PRESS WHO 
20101216180031.000|20101216180034.333|CCO|WERE NOT ALL TAKEN IN AND 
20101216180034.333|20101216180037.667|CCO|CONSIDERED TO LOOK DEEPER IN 
20101216180037.667|20101216180041.000|CCO|THEIR WORK.
20101216180041.000|20101216180046.000|CCO|AND I GUESS FINALLY TO THE 
20101216180046.000|20101216180051.000|CCO|BRITISH JUSTICE SYSTEM ITSELF.
20101216180051.000|20101216180054.333|CCO|WHERE IF JUSTICE IS NOT ALWAYS 
20101216180054.333|20101216180057.667|CCO|AN OUTCOME, IT IS NOT DEAD YET.
20101216180057.667|20101216180101.000|CCO|DURING MY TIME IN SOLITARY 
20101216180101.000|20101216180104.333|CCO|CONFINEMENT IN THE BOTTOM OF A 
20101216180104.333|20101216180107.667|CCO|VICTORIAN PRISON, I HAD TIME TO 
20101216180107.667|20101216180111.000|CCO|REFLECT ON THE CONDITIONS OF 
20101216180111.000|20101216180116.000|CCO|THOSE PEOPLE AROUND THE WORLD 
20101216180116.000|20101216180121.000|CCO|ALSO IN SOLITARY CONFINEMENT, 
20101216180121.000|20101216180123.500|CCO|ALSO IN CONDITIONS THAT ARE MORE
20101216180123.500|20101216180126.000|CCO|DIFFICULT THAN THOSE FACED BY 
20101216180126.000|20101216180128.500|CCO|ME.
20101216180128.500|20101216180131.000|CCO|THOSE PEOPLE ALSO NEED YOUR 
20101216180131.000|20101216180141.000|CCO|ATTENTION AND SUPPORT.
20101216180141.000|20101216180143.000|CCO|WITH THAT, I HOPE TO CONTINUE MY
20101216180143.000|20101216180145.000|CCO|WORK AND CONTINUE TO PROTEST MY 
20101216180145.000|20101216180147.000|CCO|INNOCENCE IN THIS MATTER AND TO 
20101216180147.000|20101216180149.000|CCO|REVEAL AS WE GET IT, WHICH WE 
20101216180149.000|20101216180151.000|CCO|HAVE NOT YET, THE EVIDENCE FROM 
20101216180151.000|20101216180201.000|CCO|THESE ALLEGATIONS.
20101216180201.000|20101216180203.000|CCO|THANK YOU.
20101216180203.000|20101216180205.000|CCO|>> JULIAN ASSANGE AS YOU HEARD 
20101216180205.000|20101216180207.000|CCO|JUST COMING OUT SAYING HE ENJOYS
20101216180207.000|20101216180209.000|CCO|THE FRE AIR, BREATHING THE FREE 
20101216180209.000|20101216180211.000|CCO|AIR OF LONDON.
20101216180211.000|20101216180216.000|CCO|HE IS NOW EXPECTED TO GO TO A 
20101216180216.000|20101216180221.000|CCO|FRIEND'S ESTATE HAVING POSTED 
20101216180221.000|20101216180223.500|CCO|BOND, $317,000, MORE THAN 
20101216180223.500|20101216180226.000|CCO|200,000 POUNDS.
20101216180226.000|20101216180228.500|CCO|TAX CUTS FOR ALL.
20101216180228.500|20101216180231.000|CCO|LIBERALS WILL VENT BUT AFTER A 
20101216180231.000|20101216180233.000|CCO|LATCH DITCH EFFORT TO CHANGE THE
20101216180233.000|20101216180235.000|CCO|ESTATE TAX PASSAGE IS LIKELY.
20101216180235.000|20101216180301.000|SEG|Type=Story
20101216180235.000|20101216180237.000|CCO|>>> CAUTIOUS OPTIMISM.
20101216180237.000|20101216180239.000|CCO|THE WHITE HOUSE'S LONG AWAITED 
20101216180239.000|20101216180241.000|CCO|REVIEW OF THE WAR IN 
20101216180241.000|20101216180242.667|CCO|AFGHANISTAN, TIME-OUTS SOME 
20101216180242.667|20101216180244.333|CCO|SUCCESSES BUT MAJOR CHALLENGES 
20101216180244.333|20101216180246.000|CCO|REMAIN.
20101216180246.000|20101216180247.667|CCO|>> I WANT TO BE CLEAR, THIS 
20101216180247.667|20101216180249.333|CCO|CONTINUES TO BE A VERY DIFFICULT
20101216180249.333|20101216180251.000|CCO|ENDEAVOR, BUT I CAN REPORT THAT 
20101216180251.000|20101216180253.500|CCO|THANKS TO THE EXTRAORDINARY 
20101216180253.500|20101216180256.000|CCO|SERVICE OF OUR TROOPS AND 
20101216180256.000|20101216180258.500|CCO|CIVILIANS ON THE GROUND, WE ARE 
20101216180258.500|20101216180301.000|CCO|ON TRACK TO ACHIEVE OUR GOALS.
20101216180301.000|20101216181041.000|SEG|Type=Story
20101216180301.000|20101216180303.500|CCO|>>> AFGHANISTAN, TAX CUTS, THE 
20101216180303.500|20101216180306.000|CCO|LAME DUCK CONGRESS AND THE NBC 
20101216180306.000|20101216180308.500|CCO|WALL STREET POLL AND MY 
20101216180308.500|20101216180311.000|CCO|EXCLUSIVE INTERVIEW WITH VICE 
20101216180311.000|20101216180312.667|CCO|PRESIDENT JOE BIDEN PLUS RACHEL 
20101216180312.667|20101216180314.333|CCO|MADDOW IS HERE TO TALK ABOUT THE
20101216180314.333|20101216180316.000|CCO|PRESIDENT'S UNEASY RELATIONSHIP 
20101216180316.000|20101216180317.667|CCO|WITH UNEASY LIBERALS.
20101216180317.667|20101216180319.333|CCO|YOU KNOW WHO IS SLOW JAMMING THE
20101216180319.333|20101216180321.000|CCO|NEWS.
20101216180321.000|20101216180324.333|CCO|>> SHUT YOUR MOUTH.
20101216180324.333|20101216180327.667|CCO|>> I CAN DIG IT.
20101216180327.667|20101216180331.000|CCO|>> GETTING THE SHAFT.
20101216180331.000|20101216180332.667|CCO|>> GOOD DAY.
20101216180332.667|20101216180334.333|CCO|I'M ANDREA MITCHELL LIVE IN 
20101216180334.333|20101216180336.000|CCO|WASHINGTON.
20101216180336.000|20101216180337.667|CCO|IN THE AFTERMATH OF THE ELECTION
20101216180337.667|20101216180339.333|CCO|THE VT IS ASSUMING A BIGGER ROLE
20101216180339.333|20101216180341.000|CCO|PLAYING POINT MAN FOR PRESIDENT 
20101216180341.000|20101216180343.000|CCO|OBAMA, NEGOTIATING DEALS WITH 
20101216180343.000|20101216180345.000|CCO|CONGRESS ON DOMESTIC AND FOREIGN
20101216180345.000|20101216180347.000|CCO|POLICIES.
20101216180347.000|20101216180349.000|CCO|AFTER MONTHS OF HEARINGS, THE 
20101216180349.000|20101216180351.000|CCO|SENATE BEGAN DEBATING THE 
20101216180351.000|20101216180352.667|CCO|S.T.A.R.T. TREATY.
20101216180352.667|20101216180354.333|CCO|THE VICE PRESIDENT DELIVERED A 
20101216180354.333|20101216180356.000|CCO|HEATED MESSAGE TO REPUBLICANS 
20101216180356.000|20101216180357.667|CCO|STILL TRYING TO DELAY A VOTE 
20101216180357.667|20101216180359.333|CCO|UNTIL NEXT YEAR.
20101216180359.333|20101216180401.000|CCO|>> I SAY LET'S DO THE NATION'S 
20101216180401.000|20101216180402.667|CCO|BUSINESS.
20101216180402.667|20101216180404.333|CCO|67 SENATORS VOTED TO MOVE 
20101216180404.333|20101216180406.000|CCO|FORWARD ON THIS, INCLUDING JOHN 
20101216180406.000|20101216180407.667|CCO|McCAIN AND LINDSAY GRAHAM AND 
20101216180407.667|20101216180409.333|CCO|THE LEADING VOICES IN THE 
20101216180409.333|20101216180411.000|CCO|REPUBLICAN PARTY.
20101216180411.000|20101216180412.667|CCO|>> THEY SAY THEY HAVEN'T HAD 
20101216180412.667|20101216180414.333|CCO|ENOUGH TIME TOO STUDY IT.
20101216180414.333|20101216180416.000|CCO|>> THEY HAVEN'T SAID THAT.
20101216180416.000|20101216180417.667|CCO|>> SENATOR KYL SAID THAT.
20101216180417.667|20101216180419.333|CCO|>> SENATOR KYL IS OPPOSED TO THE
20101216180419.333|20101216180421.000|CCO|TREATY.
20101216180421.000|20101216180424.333|CCO|SO IS SENATOR DEMINT.
20101216180424.333|20101216180427.667|CCO|DO NOT STAND IN THE WAY OF THE 
20101216180427.667|20101216180431.000|CCO|NATION'S BEST INTEREST.
20101216180431.000|20101216180433.500|CCO|LET THE SENATE VOTE.
20101216180433.500|20101216180436.000|CCO|OVERWHELMINGLY THE AMERICAN 
20101216180436.000|20101216180438.500|CCO|PEOPLE SUPPORT THE S.T.A.R.T. 
20101216180438.500|20101216180441.000|CCO|TREATY, THE UNITED STATES SETE
20101216180441.000|20101216180443.500|CCO|SUPPORTS THE S.T.A.R.T. TREATY.
20101216180443.500|20101216180446.000|CCO|IT IS CLEARLY IN OUR BEST 
20101216180446.000|20101216180448.500|CCO|INTEREST.
20101216180448.500|20101216180451.000|CCO|GEORGE SCHULTZ TO COLIN POWELL 
20101216180451.000|20101216180452.250|CCO|THINKS IT IS ESSENTIAL TO PASS 
20101216180452.250|20101216180453.500|CCO|THIS TREATY.
20101216180453.500|20101216180454.750|CCO|GET OUT OF THE WAY.
20101216180454.750|20101216180456.000|CCO|THERE IS TOO MUCH AT STAKE FOR 
20101216180456.000|20101216180457.250|CCO|AMERICA'S NATIONAL SECURITY.
20101216180457.250|20101216180458.500|CCO|AND DON'T TELL ME ABOUT 
20101216180458.500|20101216180459.750|CCO|CHRISTMAS.
20101216180459.750|20101216180501.000|CCO|I UNDERSTAND CHRISTMAS.
20101216180501.000|20101216180502.250|CCO|I HAVE BEEN A SENATOR FOR A LONG
20101216180502.250|20101216180503.500|CCO|TIME.
20101216180503.500|20101216180504.750|CCO|I HAVE BEEN THERE MANY YEARS 
20101216180504.750|20101216180506.000|CCO|WHERE WE GO RIGHT UP TO 
20101216180506.000|20101216180507.250|CCO|CHRISTMAS.
20101216180507.250|20101216180508.500|CCO|THERE ARE TEN DAYS BETWEEN NOW 
20101216180508.500|20101216180509.750|CCO|AND CHRISTMAS.
20101216180509.750|20101216180511.000|CCO|I HOPE I DON'T GET IN THE WAY OF
20101216180511.000|20101216180512.667|CCO|YOUR CHRISTMAS SHOPPING, BUT 
20101216180512.667|20101216180514.333|CCO|THIS IS THE NATION'S BUSINESS.
20101216180514.333|20101216180516.000|CCO|THIS IS A NATIONAL SECURITY AT 
20101216180516.000|20101216180517.667|CCO|STAKE.
20101216180517.667|20101216180519.333|CCO|ACT.
20101216180519.333|20101216180521.000|CCO|ACT.
20101216180521.000|20101216180522.429|CCO|>> DID THAT GO FOR THE TAX CUT 
20101216180522.429|20101216180523.857|CCO|AS WELL?
20101216180523.857|20101216180525.286|CCO|>> WE JUST ACTED ON.
20101216180525.286|20101216180526.714|CCO|>> YOU HAD A ROUGH SESSION WITH 
20101216180526.714|20101216180528.143|CCO|HOUSE DEMOCRATS.
20101216180528.143|20101216180529.571|CCO|>> SURE I DID.
20101216180529.571|20101216180531.000|CCO|>> THEY SAY YOU SOLD THEM OUT, 
20101216180531.000|20101216180533.000|CCO|YOU WENT IN THE BACK ROOM AND 
20101216180533.000|20101216180535.000|CCO|CUT A DEAL WITH REPUBLICANS.
20101216180535.000|20101216180537.000|CCO|>> I WAS IN AN INTERVIEW WITH 
20101216180537.000|20101216180539.000|CCO|ANOTHER NETWORK, I WILL NOT 
20101216180539.000|20101216180541.000|CCO|MENTION, NOT LONG AGO.
20101216180541.000|20101216180542.667|CCO|THEY SAID THE SENATE SAID YOU 
20101216180542.667|20101216180544.333|CCO|SOLD THEM OUT.
20101216180544.333|20101216180546.000|CCO|I SAID MORE THAN 80 WILL VOTE 
20101216180546.000|20101216180547.667|CCO|FOR IT.
20101216180547.667|20101216180549.333|CCO|80 SENATORS VOTED FOR THAT DEAL 
20101216180549.333|20101216180551.000|CCO|I ALLEGEDLY SOLD THEM OUT ON.
20101216180551.000|20101216180553.000|CCO|>> 81.
20101216180553.000|20101216180555.000|CCO|>> 81.
20101216180555.000|20101216180557.000|CCO|THE HOUSE WILL AS WELL.
20101216180557.000|20101216180559.000|CCO|THE PEOPLE FEEL VERY STRONGLY 
20101216180559.000|20101216180601.000|CCO|AND I DON'T BLAME THEM BUT WE 
20101216180601.000|20101216180602.667|CCO|CANNOT AFFORD TO GO INTO NEXT 
20101216180602.667|20101216180604.333|CCO|YEAR WITH EVERYONE'S TAXES GOING
20101216180604.333|20101216180606.000|CCO|UP, THE ECONOMY GOING INTO A 
20101216180606.000|20101216180607.667|CCO|DOUBLE DIP, NOT GROWING THE 
20101216180607.667|20101216180609.333|CCO|ECONOMY.
20101216180609.333|20101216180611.000|CCO|I HAD TWO DICTATES FROM THE 
20101216180611.000|20101216180613.500|CCO|PRESIDENT, JOE, MAKE SURE 
20101216180613.500|20101216180616.000|CCO|WHATEVER YOU NEGOTIATE GROWS THE
20101216180616.000|20101216180618.500|CCO|ECONOMY.
20101216180618.500|20101216180621.000|CCO|THE DEAL I WAS ASKED TO 
20101216180621.000|20101216180623.000|CCO|NEGOTIATE WILL INCREASE THE 
20101216180623.000|20101216180625.000|CCO|GROWTH OF THE ECONOMY FROM 2.3 
20101216180625.000|20101216180627.000|CCO|TO 2.5 TO 3.7 TO 4.
20101216180627.000|20101216180629.000|CCO|THAT MEANS MILLIONS OF 
20101216180629.000|20101216180631.000|CCO|ADDITIONAL JOBS.
20101216180631.000|20101216180633.000|CCO|SECONDLY, HE SAID TO ME, JOE, 
20101216180633.000|20101216180635.000|CCO|MAKE SURE OUR FOLKS AREN'T HURT,
20101216180635.000|20101216180637.000|CCO|MEANING MIDDLE CLASS AND WORKING
20101216180637.000|20101216180639.000|CCO|CLASS PEOPLE.
20101216180639.000|20101216180641.000|CCO|GUESS WHAT?
20101216180641.000|20101216180643.000|CCO|EVERY ONE OF THE TAX BREAKS THEY
20101216180643.000|20101216180645.000|CCO|HAD FROM COLLEGE TUITION TO 
20101216180645.000|20101216180647.000|CCO|CHILD CARE TAX CREDIT WHICH 
20101216180647.000|20101216180649.000|CCO|REPUBLICANS OPPOSE IS PART OF 
20101216180649.000|20101216180651.000|CCO|THAT DEAL.
20101216180651.000|20101216180653.000|CCO|EVERY SINGLE TAX BREAK FOR 
20101216180653.000|20101216180655.000|CCO|MIDDLE CLASS AMERICANS WAS 
20101216180655.000|20101216180657.000|CCO|PRESERVED.
20101216180657.000|20101216180659.000|CCO|THIRDLY, IT IS FOR TWO YEARS.
20101216180659.000|20101216180701.000|CCO|WE HAVE A PAYROLL TAX WHERE 
20101216180701.000|20101216180702.667|CCO|EVERY PERSON NEXT YEAR WILL GET 
20101216180702.667|20101216180704.333|CCO|2% LESS TAKEN OUT OF THEIR 
20101216180704.333|20101216180706.000|CCO|PAYROLL.
20101216180706.000|20101216180707.667|CCO|THAT IS REAL MONEY.
20101216180707.667|20101216180709.333|CCO|THAT MEANS WELL OVER $1,000 FOR 
20101216180709.333|20101216180711.000|CCO|THE AVERAGE PERSON OUT THERE, 
20101216180711.000|20101216180712.667|CCO|ADDITIONAL.
20101216180712.667|20101216180714.333|CCO|>> THE HOUSE DEMOCRATS, THE 
20101216180714.333|20101216180716.000|CCO|LIBERALS, THEY ARE THE PEOPLE 
20101216180716.000|20101216180717.667|CCO|THAT BROUGHT YOU INTO POWER.
20101216180717.667|20101216180719.333|CCO|>> SURE THEY ARE.
20101216180719.333|20101216180721.000|CCO|>> WHAT ARE YOU SAYING TO THEM?
20101216180721.000|20101216180722.667|CCO|>> I SPOKE TO THEM FOR 2 1/2 
20101216180722.667|20101216180724.333|CCO|HOURS.
20101216180724.333|20101216180726.000|CCO|I'M A CREATURE OF THE CONGRESS.
20101216180726.000|20101216180727.667|CCO|WHEN I WALKED IN I GOT A 
20101216180727.667|20101216180729.333|CCO|STANDING OVATION, WHEN I WALKED 
20101216180729.333|20101216180731.000|CCO|OUT I GOT AN OVATION.
20101216180731.000|20101216180732.667|CCO|ALL THE TALK OF OVERWHELMING 
20101216180732.667|20101216180734.333|CCO|CONTENTION.
20101216180734.333|20101216180736.000|CCO|NOT A SINGLE ONE DID NOT THANK 
20101216180736.000|20101216180737.667|CCO|ME.
20101216180737.667|20101216180739.333|CCO|NOT A SINGLE ONE SAID TO ME THEY
20101216180739.333|20101216180741.000|CCO|THOUGHT I SOLD ANYONE OUT.
20101216180741.000|20101216180743.500|CCO|NOT A SINGLE ONE SAID WE WERE 
20101216180743.500|20101216180746.000|CCO|GOING TO DECOUPLE THE TAX.
20101216180746.000|20101216180748.500|CCO|THEIR ARGUMENT WAS YOU SHOULD 
20101216180748.500|20101216180751.000|CCO|HAVE TAKEN MORE TIME, JOE.
20101216180751.000|20101216180752.429|CCO|THE MINORITY WHO SPOKE SAID 
20101216180752.429|20101216180753.857|CCO|THAT.
20101216180753.857|20101216180755.286|CCO|THERE WERE A NUMBER OF PEOPLE 
20101216180755.286|20101216180756.714|CCO|WHO STOOD UP AND SAID THIS IS 
20101216180756.714|20101216180758.143|CCO|IMPORTANT.
20101216180758.143|20101216180759.571|CCO|THANK YOU FOR THE DEAL YOU 
20101216180759.571|20101216180801.000|CCO|NEGOTIATED, INCLUDING 
20101216180801.000|20101216180802.667|CCO|PROGRESSIVES AND MODERATES.
20101216180802.667|20101216180804.333|CCO|>> IF YOU WERE STILL IN THE 
20101216180804.333|20101216180806.000|CCO|SENATE, WHAT ABOUT THE 
20101216180806.000|20101216180807.667|CCO|APPROPRIATIONS BILL?
20101216180807.667|20101216180809.333|CCO|ALL THE EARMARKS ON THE FLOOR.
20101216180809.333|20101216180811.000|CCO|WERE YOU ALL ASLEEP?
20101216180811.000|20101216180812.429|CCO|DIDN'T YOU GET THE MESSAGE OF 
20101216180812.429|20101216180813.857|CCO|THE ELECTION.
20101216180813.857|20101216180815.286|CCO|PEOPLE DON'T WANT ALL THIS PORK.
20101216180815.286|20101216180816.714|CCO|>> LOOK, WE ARE IN A POSITION 
20101216180816.714|20101216180818.143|CCO|THAT WE DON'T GET TO NEGOTIATE 
20101216180818.143|20101216180819.571|CCO|THIS.
20101216180819.571|20101216180821.000|CCO|WE SET OUT TWO PARAMETERS.
20101216180821.000|20101216180823.500|CCO|WE SAID WE WANTED TO FREEZE 
20101216180823.500|20101216180826.000|CCO|DISCRETIONARY SPENDING.
20101216180826.000|20101216180828.500|CCO|IT IS FROZEN IN THIS OMNIBUS 
20101216180828.500|20101216180831.000|CCO|BILL.
20101216180831.000|20101216180833.000|CCO|WE NEED ADDITIONAL FUNDING FOR 
20101216180833.000|20101216180835.000|CCO|NATIONAL SECURITY.
20101216180835.000|20101216180837.000|CCO|ADDITIONAL FUNDING FOR FOLLOW ON
20101216180837.000|20101216180839.000|CCO|IN IRAQ SO TO MAKE SURE THE 
20101216180839.000|20101216180841.000|CCO|CIVILIAN SIDE GETS RAMPED UP AND
20101216180841.000|20101216180842.429|CCO|FOR DEALING WITH INTERNATIONAL 
20101216180842.429|20101216180843.857|CCO|TERRORIST ORGANIZATIONS.
20101216180843.857|20101216180845.286|CCO|WE GOT BOTH OF THOSE THINGS.
20101216180845.286|20101216180846.714|CCO|DO WE LIKE SOME OF THESE 
20101216180846.714|20101216180848.143|CCO|"EARMARKS" IN THERE?
20101216180848.143|20101216180849.571|CCO|NO, WE DON'T LIKE THEM.
20101216180849.571|20101216180851.000|CCO|THE QUESTION IS ARE WE GOING TO 
20101216180851.000|20101216180853.000|CCO|THROW OUT THE BABY WITH THE BATH
20101216180853.000|20101216180855.000|CCO|WATER HERE?
20101216180855.000|20101216180857.000|CCO|IF, IN FACT, THIS OMNIBUS BILL 
20101216180857.000|20101216180859.000|CCO|NEGOTIATED BY REPUBLICANS AND 
20101216180859.000|20101216180901.000|CCO|DEMOCRATS, NOT BY US, 
20101216180901.000|20101216180902.250|CCO|REPUBLICANS AND DEMOCRATS PASSES
20101216180902.250|20101216180903.500|CCO|THE PRESIDENT WILL SUPPORT IT.
20101216180903.500|20101216180904.750|CCO|>> YOU ARE THE POINT MAN ON ALL 
20101216180904.750|20101216180906.000|CCO|OF THIS.
20101216180906.000|20101216180907.250|CCO|YOU ARE HERE AT THE UNITED 
20101216180907.250|20101216180908.500|CCO|NATIONS, NEGOTIATING WITH MITCH 
20101216180908.500|20101216180909.750|CCO|McCONNELL.
20101216180909.750|20101216180911.000|CCO|YOU ARE EVERYWHERE.
20101216180911.000|20101216180912.667|CCO|ARE YOU THE DEFACTO CHIEF OF 
20101216180912.667|20101216180914.333|CCO|STAFF?
20101216180914.333|20101216180916.000|CCO|>> WELL, LOOK, WHEN THE 
20101216180916.000|20101216180917.667|CCO|PRESIDENT ASKED ME TO JOIN HIM, 
20101216180917.667|20101216180919.333|CCO|HE ASKED WHAT PORTFOLIO I 
20101216180919.333|20101216180921.000|CCO|WANTED.
20101216180921.000|20101216180923.000|CCO|I SAID I WANT TO BE IN THE ROOM 
20101216180923.000|20101216180925.000|CCO|WHENEVER DECISION IS BEING MADE.
20101216180925.000|20101216180927.000|CCO|YOU ARE PRESIDENT BUT I WANT TO 
20101216180927.000|20101216180929.000|CCO|HAVE AN INPUT.
20101216180929.000|20101216180931.000|CCO|THE PRESIDENT USED ME WHERE I 
20101216180931.000|20101216180932.429|CCO|HAVE A SKILL SET.
20101216180932.429|20101216180933.857|CCO|I STILL CONSIDER MYSELF A SENATE
20101216180933.857|20101216180935.286|CCO|MAN.
20101216180935.286|20101216180936.714|CCO|I LOVE THE SENATE.
20101216180936.714|20101216180938.143|CCO|I LOVE THE CONGRESS.
20101216180938.143|20101216180939.571|CCO|I KEEP IN TOUCH WITH THEM.
20101216180939.571|20101216180941.000|CCO|I HAVE GREAT RELATIONSHIPS WITH 
20101216180941.000|20101216180942.429|CCO|REPUBLICANS AS WELL AS 
20101216180942.429|20101216180943.857|CCO|DEMOCRATS.
20101216180943.857|20101216180945.286|CCO|THERE IS REAL TRUST.
20101216180945.286|20101216180946.714|CCO|IT IS LOGICAL AT ME FOR ME TO BE
20101216180946.714|20101216180948.143|CCO|A POINT MAN DEALING WITH THE 
20101216180948.143|20101216180949.571|CCO|HOUSE AND THE SENATE AT THIS 
20101216180949.571|20101216180951.000|CCO|TIME.
20101216180951.000|20101216180952.429|CCO|I HAVE A SIGNIFICANT BACKGROUND,
20101216180952.429|20101216180953.857|CCO|DOESN'T MEAN GOOD OR BAD, BUT I 
20101216180953.857|20101216180955.286|CCO|HAVE A SIGNIFICANT BACKGROUND IN
20101216180955.286|20101216180956.714|CCO|FOREIGN POLICY AND NATIONAL 
20101216180956.714|20101216180958.143|CCO|SECURITY ISSUES SO IT IS LOGICAL
