TOP|20110115020001|2011-01-15_0200_US_KMEX_Noticias_34
COL|Communication Studies Archive, UCLA 
UID|54ee5174-204f-11e0-9a9b-001517add6f2
DUR|0:29:48.98
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-14 18:00 America/Los_Angeles
SEG_01|2014-02-14 18:22:17|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110115020132.000|20110115022949.000|SEG|Type=Story
20110115020132.000|20110115020133.000|CC1|.                               
20110115020133.000|20110115020141.000|CC1|>> Mi hermana ya esta en el     
20110115020141.000|20110115020144.000|CC1|cielo, espero encontrarme con   
20110115020144.000|20110115020146.000|CC1|ellos alguna vez.               
20110115020146.000|20110115020149.000|CC1|>> Llego el director del        
20110115020149.000|20110115020158.000|CC1|departamento de California para 
20110115020158.000|20110115020201.000|CC1|expresar las condolencias de    
20110115020201.000|20110115020207.000|CC1|parte de los trabajadores de la 
20110115020207.000|20110115020209.000|CC1|energía de California .         
20110115020209.000|20110115020215.000|CC1|>> Estoy molesta porque murieron
20110115020215.000|20110115020219.000|CC1|tres personas par que el        
20110115020219.000|20110115020222.000|CC1|departamento de electricidad nos
20110115020222.000|20110115020226.000|CC1|hiciera caso.                   
20110115020226.000|20110115020233.000|CC1|>> Una sola recomendacion       
20110115020233.000|20110115020236.000|CC1|dijeron de parte del            
20110115020236.000|20110115020239.000|CC1|departamento de bomberos, que   
20110115020239.000|20110115020243.000|CC1|aún las lluvias continuaran en  
20110115020243.000|20110115020246.000|CC1|el sur .                        
20110115020246.000|20110115020249.000|CC1|>> Gracias, tambiñn están       
20110115020249.000|20110115020254.000|CC1|preocupados los residentes por  
20110115020254.000|20110115020301.000|CC1|la presencia de un hombre que es
20110115020301.000|20110115020303.000|CC1|acusado de violación, el sujeto 
20110115020303.000|20110115020308.000|CC1|ya pasó su sentencia pero vivira
20110115020308.000|20110115020314.000|CC1|con sus padres a una cuadra de  
20110115020314.000|20110115020317.000|CC1|una escuela.                    
20110115020317.000|20110115020323.000|CC1|>> Un hombre ya esta preso por  
20110115020323.000|20110115020330.000|CC1|abusar de un niño y             
20110115020330.000|20110115020335.000|CC1|secuestrarlo, fue encontrado en 
20110115020335.000|20110115020335.000|CC1|mexicali.                       
20110115020335.000|20110115020340.000|CC1|>> El que no se pudo salvar de  
20110115020340.000|20110115020348.000|CC1|los tiros de la policía fue un  
20110115020348.000|20110115020358.000|CC1|hombre desnudo, la policía lo   
20110115020358.000|20110115020359.000|CC1|hirio mortalmente.              
20110115020359.000|20110115020407.000|CC1|>> El 34 esta acá, en la ciudad 
20110115020407.000|20110115020415.000|CC1|de Ontario para celebrar el día 
20110115020415.000|20110115020418.000|CC1|de Martín Luther King.          
20110115020418.000|20110115020424.000|CC1|>> Buenas tardes, acá parece que
20110115020424.000|20110115020427.000|CC1|se festeja algo pero no es así, 
20110115020427.000|20110115020431.000|CC1|lo que pasa es que en la        
20110115020431.000|20110115020434.000|CC1|comunidad latina se vive todo   
20110115020434.000|20110115020436.000|CC1|muy alegre.                     
20110115020436.000|20110115020440.000|CC1|>> Hace diez años esto no       
20110115020440.000|20110115020441.000|CC1|pasaba.                         
20110115020441.000|20110115020446.000|CC1|>> Buenas tardes, el 34 y       
20110115020446.000|20110115020451.000|CC1|Univisión 34, acá antes había   
20110115020451.000|20110115020455.000|CC1|gueritos, pero poco a poco somos
20110115020455.000|20110115020456.000|CC1|más .                           
20110115020456.000|20110115020501.000|CC1|>> Los primeros en vivir acá,   
20110115020501.000|20110115020506.000|CC1|dijeron que era una tierra      
20110115020506.000|20110115020511.000|CC1|perfecta para la mano de obra de
20110115020511.000|20110115020512.000|CC1|los inmigrantes.                
20110115020512.000|20110115020518.000|CC1|>> Es así que desde se fundio,  
20110115020518.000|20110115020522.000|CC1|esta ciudad ha crecido diez     
20110115020522.000|20110115020529.000|CC1|veces más, acá viven más de 200 
20110115020529.000|20110115020533.000|CC1|mil habitantes, uno de cada     
20110115020533.000|20110115020535.000|CC1|cinco es de la comunidad hispana
20110115020535.000|20110115020536.000|CC1|.                               
20110115020536.000|20110115020543.000|CC1|>> Ahora miro y hay personas de 
20110115020543.000|20110115020544.000|CC1|la comunidad hispana .          
20110115020544.000|20110115020600.000|CC1|>> A ontario ahora es la tierra 
20110115020600.000|20110115020603.000|CC1|de la comunidad hispana .       
20110115020603.000|20110115020608.000|CC1|>> Negócios nuevos.             
20110115020608.000|20110115020618.000|CC1|>> Son como tradiciones de      
20110115020618.000|20110115020621.000|CC1|nuestros pueblos, productos de  
20110115020621.000|20110115020623.000|CC1|Mñxico .                        
20110115020623.000|20110115020631.000|CC1|>> Acá nuestra raices acá se    
20110115020631.000|20110115020632.000|CC1|fortalezen.                     
20110115020632.000|20110115020638.000|CC1|>> Cuando el 34 esta acá le     
20110115020638.000|20110115020642.000|CC1|presta los microfonos a nuestra 
20110115020642.000|20110115020643.000|CC1|gente.                          
20110115020643.000|20110115020647.000|CC1|>> Un saludo para ñl .          
20110115020647.000|20110115020651.000|CC1|>> Los jóvenes se dieron cita.  
20110115020651.000|20110115020654.000|CC1|>> Ya regresamos con ustedes .  
20110115020654.000|20110115020656.000|CC1|>> Saludoss, gracias .          
20110115020656.000|20110115020703.000|CC1|>> Donde no hay motivo de       
20110115020703.000|20110115020708.000|CC1|festejar, en la preparatoria se 
20110115020708.000|20110115020717.000|CC1|tendrá que hacer nuevamente la  
20110115020717.000|20110115020720.000|CC1|solicitud por el bajo nivel     
20110115020720.000|20110115020721.000|CC1|escolar.                        
20110115020721.000|20110115020728.000|CC1|>> Queremos ver el ñxito más    
20110115020728.000|20110115020732.000|CC1|rápido, las escuelas pequeñas   
20110115020732.000|20110115020739.000|CC1|tienen una mejor relación con   
20110115020739.000|20110115020741.000|CC1|los jóvenes.                    
20110115020741.000|20110115020748.000|CC1|>> Sólo uno de mil alumnos saco 
20110115020748.000|20110115020750.000|CC1|alta calificacion en            
20110115020750.000|20110115020753.000|CC1|matematicas.                    
20110115020753.000|20110115020755.000|CC1|>> Lo último que se sabe de     
20110115020755.000|20110115020800.000|CC1|Gabrielle Giffords es que esta  
20110115020800.000|20110115020803.000|CC1|mejor, pero grave aún .         
20110115020803.000|20110115020811.000|CC1|>> Cuatro heridos aún están     
20110115020811.000|20110115020814.000|CC1|hospitalizados, las autoridades 
20110115020814.000|20110115020819.000|CC1|están en el juicio en contra de 
20110115020819.000|20110115020820.000|CC1|Jared Lee Loughner .            
20110115020820.000|20110115020828.000|CC1|>> Se le dio el último adios al 
20110115020828.000|20110115020832.000|CC1|feretro, el magistrado sólo     
20110115020832.000|20110115020836.000|CC1|había pasado a saludar a        
20110115020836.000|20110115020841.000|CC1|Gabrielle Giffords en Tucson,   
20110115020841.000|20110115020844.000|CC1|Arizona el fin de semana pasado.
20110115020844.000|20110115020847.000|CC1|>> La compañía no dará marcha   
20110115020847.000|20110115020851.000|CC1|atras, subira las primas de     
20110115020851.000|20110115020854.000|CC1|salud en un 59 por ciento.      
20110115020854.000|20110115020901.000|CC1|>> La empresa declaró que       
20110115020901.000|20110115020904.000|CC1|evaluara nuevamente, con un     
20110115020904.000|20110115020908.000|CC1|quince por ciento efectivo para 
20110115020908.000|20110115020915.000|CC1|el 1 de Marzo .                 
20110115020915.000|20110115020919.000|CC1|>> Tenemos una opción .         
20110115020919.000|20110115020923.000|CC1|>> Venta por mayor .            
20110115020923.000|20110115020928.000|CC1|>> No podemos garantizar la     
20110115020928.000|20110115020931.000|CC1|funcionalidad, pero si es un    
20110115020931.000|20110115020934.000|CC1|negócio para todos, es mercancia
20110115020934.000|20110115020940.000|CC1|de tienda x, no le gusto.       
20110115020940.000|20110115020949.000|CC1|>> Los articulos varias desde   
20110115020949.000|20110115020950.000|CC1|muebles hasta juguetes.         
20110115020950.000|20110115021000.000|CC1|>> Tenemos ropa, maquillaje de  
20110115021000.000|20110115021005.000|CC1|un dólar y 50 centavos.         
20110115021005.000|20110115021010.000|CC1|>> Tenemos articulos, paga poco 
20110115021010.000|20110115021015.000|CC1|por una caja que tiene 160      
20110115021015.000|20110115021016.000|CC1|unidades.                       
20110115021016.000|20110115021019.000|CC1|>> Tenis nuevos de marcas       
20110115021019.000|20110115021020.000|CC1|conocidas .                     
20110115021020.000|20110115021027.000|CC1|>> Anna pasó de ama de casa a   
20110115021027.000|20110115021029.000|CC1|empresaria por esta posibilidad 
20110115021029.000|20110115021030.000|CC1|.                               
20110115021030.000|20110115021036.000|CC1|>> Al mes unos dos mil dólares  
20110115021036.000|20110115021045.000|CC1|que quedan de ganancias .       
20110115021045.000|20110115021049.000|CC1|>> ya no tengo jefe, es por mi  
20110115021049.000|20110115021050.000|CC1|mismo.                          
20110115021050.000|20110115021058.000|CC1|>> (Información en pantalla) .  
20110115021058.000|20110115021100.000|CC1|>> Noticias 34 Univisión .      
20110115021100.000|20110115021104.000|CC1|>> ???.                         
20110115021104.000|20110115021107.000|CC1|>> Al regresar... .             
20110115021107.000|20110115021117.000|CC1|>> El papa Juan Pablo II a punto
20110115021117.000|20110115021120.000|CC1|de ser santo .                  
20110115021120.000|20110115021121.000|CC1|>> Contamos lo que pasó en      
20110115021121.000|20110115021125.000|CC1|Mñxico .                        
20110115021125.000|20110115021136.000|CC1|>> Se sorprendera los quimicos  
20110115021136.000|20110115021141.000|CC1|que encontraron en el cuerpo de 
20110115021141.000|20110115021143.000|CC1|las mujeres embarazadas.        
20110115021143.000|20110115021148.000|CC1|>> Hablamos sobre los Clippers  
20110115021148.000|20110115021152.000|CC1|que celebran la noche de la     
20110115021152.000|20110115021154.000|CC1|comunidad latina .              
20110115021154.000|20110115021359.000|CC1|>> Ya volvemos                  
20110115021359.000|20110115021359.000|CC1|.                               
20110115021359.000|20110115021404.000|CC1|>> ¿Quñ tal? hay controversia   
20110115021404.000|20110115021408.000|CC1|porque dicen que hay Santos que 
20110115021408.000|20110115021414.000|CC1|han esperado cientos de años    
20110115021414.000|20110115021420.000|CC1|para ser canonizados, pero el   
20110115021420.000|20110115021424.000|CC1|Papa Juan Pablo II tardo muy    
20110115021424.000|20110115021426.000|CC1|poco.                           
20110115021426.000|20110115021432.000|CC1|>> Tan sólo a cinco años ya será
20110115021432.000|20110115021433.000|CC1|santidad.                       
20110115021433.000|20110115021437.000|CC1|>> Tenía carisma , sabia como   
20110115021437.000|20110115021441.000|CC1|tocar el corazón de la gente,   
20110115021441.000|20110115021445.000|CC1|sobre todo con los jóvenes, le  
20110115021445.000|20110115021446.000|CC1|spodia hablar.                  
20110115021446.000|20110115021453.000|CC1|>> El papa víajero será         
20110115021453.000|20110115021455.000|CC1|beatificado por el Papa         
20110115021455.000|20110115021500.000|CC1|Benedicto XVI el primero de     
20110115021500.000|20110115021503.000|CC1|Febrero .                       
20110115021503.000|20110115021507.000|CC1|>> Se esperan cinco años, pero  
20110115021507.000|20110115021512.000|CC1|si se acuerdan en el funeral, la
20110115021512.000|20110115021521.000|CC1|gente clamaba en la plaza por se
20110115021521.000|20110115021522.000|CC1|santo subito.                   
20110115021522.000|20110115021528.000|CC1|>> Ella curo a una monja del mal
20110115021528.000|20110115021529.000|CC1|de parkinson.                   
20110115021529.000|20110115021534.000|CC1|>> Para la comunidad latina esto
20110115021534.000|20110115021535.000|CC1|es muy importante.              
20110115021535.000|20110115021543.000|CC1|>> Mñxico fue el país que más   
20110115021543.000|20110115021544.000|CC1|visito, para nosotros es cosas  
20110115021544.000|20110115021548.000|CC1|de orgullos que tenemos la      
20110115021548.000|20110115021554.000|CC1|imagen de el Papa con el Virgen 
